onset	duration	nTrial	begSample	endSample	SetSize	ProbeLetter	Match	Correct	ResponseTime	Artifact
0.005	8	1	1	1600	8	X	IN	0	2.65925	0
8.005	8	2	1601	3200	4	X	OUT	1	1.381	1
16.005	8	3	3201	4800	4	X	IN	0	1.03825	0
24.005	8	4	4801	6400	4	X	OUT	1	1.73675	0
32.005	8	5	6401	8000	6	X	OUT	1	1.2815	0
40.005	8	6	8001	9600	4	X	IN	1	1.02025	0
48.005	8	7	9601	11200	8	X	OUT	1	2.24275	0
56.005	8	8	11201	12800	6	X	OUT	1	1.83475	0
64.005	8	9	12801	14400	4	X	IN	1	1.388	0
72.005	8	10	14401	16000	4	X	OUT	1	1.5325	0
80.005	8	11	16001	17600	8	X	IN	0	1.1145	0
88.005	8	12	17601	19200	4	X	IN	1	1.53875	0
96.005	8	13	19201	20800	4	X	IN	1	2.17375	0
104.005	8	14	20801	22400	6	X	OUT	1	1.05875	0
112.005	8	15	22401	24000	8	X	OUT	1	1.26675	0
120.005	8	16	24001	25600	8	X	IN	1	1.268	0
128.005	8	17	25601	27200	8	X	OUT	1	1.0725	0
136.005	8	18	27201	28800	6	X	IN	1	1.4945	0
144.005	8	19	28801	30400	6	X	IN	1	1.139	0
152.005	8	20	30401	32000	8	X	IN	1	0.895	0
160.005	8	21	32001	33600	4	X	OUT	1	0.86125	0
168.005	8	22	33601	35200	6	X	OUT	1	0.99475	0
176.005	8	23	35201	36800	6	X	OUT	1	0.79125	0
184.005	8	24	36801	38400	4	X	OUT	1	1.2885	0
192.005	8	25	38401	40000	4	X	IN	1	0.95	0
200.005	8	26	40001	41600	8	X	OUT	1	1.2075	0
208.005	8	27	41601	43200	8	X	OUT	1	0.749	0
216.005	8	28	43201	44800	4	X	OUT	1	0.8355	0
224.005	8	29	44801	46400	4	X	IN	1	0.50825	0
232.005	8	30	46401	48000	8	X	IN	1	1.26425	0
240.005	8	31	48001	49600	6	X	OUT	1	0.728	0
248.005	8	32	49601	51200	8	X	OUT	0	1.141	0
256.005	8	33	51201	52800	4	X	IN	1	1.293	0
264.005	8	34	52801	54400	8	X	IN	1	1.509	0
272.005	8	35	54401	56000	8	X	OUT	1	1.40275	0
280.005	8	36	56001	57600	8	X	IN	0	2.254	0
288.005	8	37	57601	59200	4	X	IN	1	1.42025	0
296.005	8	38	59201	60800	4	X	OUT	1	1.02725	0
304.005	8	39	60801	62400	4	X	OUT	1	1.29175	0
312.005	8	40	62401	64000	4	X	OUT	1	0.996	0
320.005	8	41	64001	65600	4	X	IN	1	0.90575	0
328.005	8	42	65601	67200	6	X	IN	0	1.46675	0
336.005	8	43	67201	68800	4	X	IN	1	1.18375	0
344.005	8	44	68801	70400	4	X	OUT	1	1.0015	0
352.005	8	45	70401	72000	6	X	IN	1	1.04675	1
360.005	8	46	72001	73600	8	X	IN	0	1.00225	0
368.005	8	47	73601	75200	4	X	OUT	1	1.1255	0
376.005	8	48	75201	76800	6	X	IN	1	1.352	1
384.005	8	49	76801	78400	8	X	IN	1	1.8495	1
392.005	8	50	78401	80000	4	X	IN	1	1.00025	1
