name	type	units	low_cutoff	high_cutoff	sampling_frequency
A1	EEG	μV	1000	0.5	2000
A2	EEG	μV	1000	0.5	2000
C3	EEG	μV	1000	0.5	2000
C4	EEG	μV	1000	0.5	2000
Cz	EEG	μV	1000	0.5	2000
F3	EEG	μV	1000	0.5	2000
F4	EEG	μV	1000	0.5	2000
F7	EEG	μV	1000	0.5	2000
F8	EEG	μV	1000	0.5	2000
Fp1	EEG	μV	1000	0.5	2000
Fp2	EEG	μV	1000	0.5	2000
Fz	EEG	μV	1000	0.5	2000
O1	EEG	μV	1000	0.5	2000
O2	EEG	μV	1000	0.5	2000
P3	EEG	μV	1000	0.5	2000
P4	EEG	μV	1000	0.5	2000
Pz	EEG	μV	1000	0.5	2000
T1	EEG	μV	1000	0.5	2000
T2	EEG	μV	1000	0.5	2000
T3	EEG	μV	1000	0.5	2000
T4	EEG	μV	1000	0.5	2000
T5	EEG	μV	1000	0.5	2000
T6	EEG	μV	1000	0.5	2000
