onset	duration	nTrial	begSample	endSample	SetSize	ProbeLetter	Match	Correct	ResponseTime	Artifact
0.0005	8	1	1	16000	8	W	IN	1	1.178125	1
8.0005	8	2	16001	32000	6	K	IN	1	1.40025	0
16.0005	8	3	32001	48000	8	P	IN	1	1.29325	0
24.0005	8	4	48001	64000	4	W	OUT	1	1.422375	0
32.0005	8	5	64001	80000	4	P	IN	1	0.918375	0
40.0005	8	6	80001	96000	8	S	IN	1	0.949625	0
48.0005	8	7	96001	112000	8	T	OUT	1	1.76125	0
56.0005	8	8	112001	128000	8	N	OUT	1	1.265125	0
64.0005	8	9	128001	144000	4	L	IN	1	1.024	0
72.0005	8	10	144001	160000	8	D	OUT	1	1.059125	0
80.0005	8	11	160001	176000	8	D	IN	1	1.43525	0
88.0005	8	12	176001	192000	8	P	OUT	1	1.068	0
96.0005	8	13	192001	208000	8	Q	OUT	1	1.064375	0
104.0005	8	14	208001	224000	8	W	OUT	1	1.28825	1
112.0005	8	15	224001	240000	6	C	IN	1	1.046	0
120.0005	8	16	240001	256000	4	P	IN	1	1.111625	0
128.0005	8	17	256001	272000	6	P	IN	1	1.86925	0
136.0005	8	18	272001	288000	4	V	IN	1	1.044625	1
144.0005	8	19	288001	304000	4	L	OUT	1	1.001875	0
152.0005	8	20	304001	320000	8	H	OUT	1	0.842125	0
160.0005	8	21	320001	336000	4	R	IN	1	0.981	1
168.0005	8	22	336001	352000	8	V	OUT	1	1.135875	0
176.0005	8	23	352001	368000	6	P	IN	1	0.8665	0
184.0005	8	24	368001	384000	8	Z	IN	1	0.79475	0
192.0005	8	25	384001	400000	6	T	IN	1	0.816	0
200.0005	8	26	400001	416000	6	H	IN	1	0.840625	0
208.0005	8	27	416001	432000	6	H	OUT	1	1.085375	1
216.0005	8	28	432001	448000	8	C	OUT	0	1.628125	0
224.0005	8	29	448001	464000	4	L	OUT	1	0.873	1
232.0005	8	30	464001	480000	4	T	OUT	1	2.722125	0
240.0005	8	31	480001	496000	4	B	IN	1	1.01425	0
248.0005	8	32	496001	512000	8	T	IN	1	1.275125	0
256.0005	8	33	512001	528000	8	Q	OUT	1	1.01725	0
264.0005	8	34	528001	544000	8	B	OUT	1	1.85675	0
272.0005	8	35	544001	560000	4	Q	IN	1	1.094875	0
280.0005	8	36	560001	576000	6	K	OUT	1	2.94125	0
288.0005	8	37	576001	592000	4	K	IN	1	0.708375	0
296.0005	8	38	592001	608000	8	L	IN	1	0.8665	0
304.0005	8	39	608001	624000	4	B	OUT	1	1.135	0
312.0005	8	40	624001	640000	6	P	IN	0	2.794375	0
320.0005	8	41	640001	656000	4	K	IN	1	1.231125	1
328.0005	8	42	656001	672000	6	R	IN	1	0.84525	0
336.0005	8	43	672001	688000	6	H	IN	1	1.225625	0
344.0005	8	44	688001	704000	8	Z	IN	0	1.0925	0
352.0005	8	45	704001	720000	4	W	OUT	1	1.60675	1
360.0005	8	46	720001	736000	8	K	IN	1	1.308375	0
368.0005	8	47	736001	752000	4	S	OUT	1	0.926625	0
376.0005	8	48	752001	768000	8	B	OUT	1	0.886375	0
384.0005	8	49	768001	784000	6	H	OUT	1	0.96025	0
392.0005	8	50	784001	800000	8	R	OUT	1	0.926	0
