onset	duration	nTrial	begSample	endSample	SetSize	ProbeLetter	Match	Correct	ResponseTime	Artifact
0.0005	8	1	1	16000	6	X	OUT	1	2.54675	0
8.0005	8	2	16001	32000	6	X	IN	1	1.56625	0
16.0005	8	3	32001	48000	6	X	IN	1	1.40875	0
24.0005	8	4	48001	64000	6	X	IN	1	1.01825	0
32.0005	8	5	64001	80000	6	X	IN	1	1.37825	0
40.0005	8	6	80001	96000	6	X	OUT	1	1.50075	0
48.0005	8	7	96001	112000	8	X	OUT	1	1.196	0
56.0005	8	8	112001	128000	8	X	IN	0	1.1065	0
64.0005	8	9	128001	144000	4	X	OUT	1	2.04	0
72.0005	8	10	144001	160000	6	X	OUT	1	1.54925	0
80.0005	8	11	160001	176000	6	X	OUT	1	1.17675	0
88.0005	8	12	176001	192000	8	X	OUT	1	1.65675	0
96.0005	8	13	192001	208000	6	X	IN	0	1.6805	0
104.0005	8	14	208001	224000	4	X	OUT	1	1.1365	0
112.0005	8	15	224001	240000	8	X	OUT	1	1.4605	0
120.0005	8	16	240001	256000	4	X	IN	1	1.2655	0
128.0005	8	17	256001	272000	4	X	IN	1	2.56275	0
136.0005	8	18	272001	288000	6	X	OUT	1	2.03275	0
144.0005	8	19	288001	304000	4	X	OUT	1	1.34175	0
152.0005	8	20	304001	320000	8	X	OUT	1	1.41575	0
160.0005	8	21	320001	336000	8	X	IN	1	1.40725	0
168.0005	8	22	336001	352000	4	X	IN	1	1.21175	0
176.0005	8	23	352001	368000	8	X	OUT	1	1.487	0
184.0005	8	24	368001	384000	4	X	IN	1	0.95175	0
192.0005	8	25	384001	400000	8	X	OUT	1	2.59925	0
200.0005	8	26	400001	416000	4	X	OUT	1	1.28975	0
208.0005	8	27	416001	432000	8	X	OUT	1	1.27125	1
216.0005	8	28	432001	448000	6	X	OUT	1	1.46775	0
224.0005	8	29	448001	464000	6	X	IN	0	4.1575	0
232.0005	8	30	464001	480000	4	X	IN	1	1.12925	0
240.0005	8	31	480001	496000	4	X	OUT	1	1.32475	0
248.0005	8	32	496001	512000	6	X	OUT	1	1.39475	0
256.0005	8	33	512001	528000	6	X	IN	1	2.69225	0
264.0005	8	34	528001	544000	4	X	OUT	1	1.36375	0
272.0005	8	35	544001	560000	8	X	OUT	1	3.25025	0
280.0005	8	36	560001	576000	6	X	OUT	1	1.06725	0
288.0005	8	37	576001	592000	4	X	IN	1	1.335	0
296.0005	8	38	592001	608000	6	X	OUT	1	1.082	0
304.0005	8	39	608001	624000	8	X	OUT	0	2.10525	0
312.0005	8	40	624001	640000	4	X	OUT	1	1.393	0
320.0005	8	41	640001	656000	8	X	OUT	1	0.9795	0
328.0005	8	42	656001	672000	4	X	IN	1	1.29825	0
336.0005	8	43	672001	688000	4	X	OUT	1	0.97025	0
344.0005	8	44	688001	704000	8	X	IN	1	1.19575	0
352.0005	8	45	704001	720000	8	X	IN	1	1.42275	0
360.0005	8	46	720001	736000	8	X	OUT	1	0.89325	0
368.0005	8	47	736001	752000	4	X	IN	1	0.989	1
376.0005	8	48	752001	768000	6	X	OUT	1	1.12825	0
384.0005	8	49	768001	784000	4	X	OUT	1	1.3985	0
