name	x	y	z	size	AnatomicalLocation
mAHL1	-25.766453316181	-10.8898109754406	-22.3589170997329	1.3	Hipp, Left Hippocampus rHipp, rostral hippocampus
mAHL2	-30.7720638183699	-14.0130179614169	-20.6525267703302	1.3	Hipp, Left Hippocampus cHipp, caudal hippocampus
mAHL3	-34.952949655487	-16.9087753443873	-19.4492564444898	1.3	Hipp, Left Hippocampus cHipp, caudal hippocampus
mAHL4	-40.8141821748651	-19.8308140721848	-18.3310446451812	1.3	FuG, Left Fusiform Gyrus A20rv, rostroventral area 20
mAHL5	-45.677253025584	-21.8753407603517	-17.0642959440108	1.3	FuG, Left Fusiform Gyrus A20rv, rostroventral area 20
mAHL6	-49.8897304780737	-25.0169976100418	-15.7504327925689	1.3	ITG, Left Inferior Temporal Gyrus A20iv, intermediate ventral area 20
mAHL7	-54.6097401677371	-28.1501424139573	-14.7007781753568	1.3	ITG, Left Inferior Temporal Gyrus A20cv, caudoventral of area 20
mAHL8	-59.458160265541	-30.6833376133476	-13.5489615617105	1.3	ITG, Left Inferior Temporal Gyrus A20cl, caudolateral of area 20
mAHR1	25.8057301352321	-11.0824292494798	-21.0158790443492	1.3	Hipp, Right Hippocampus rHipp, rostral hippocampus
mAHR2	29.9573179456598	-14.5221200350924	-19.4058124846349	1.3	Hipp, Right Hippocampus cHipp, caudal hippocampus
mAHR3	35.0396211500616	-18.0600508811753	-17.8880233468383	1.3	Hipp, Right Hippocampus cHipp, caudal hippocampus
mAHR4	40.2460905871586	-20.7082518744914	-16.3444106013575	1.3	FuG, Right Fusiform Gyrus A20rv, rostroventral area 20
mAHR5	45.9394708596417	-23.9264380991219	-14.7892266183402	1.3	no_label_found
mAHR6	49.7818947997191	-25.9674781226107	-13.8867415389929	1.3	no_label_found
mAHR7	54.8417910527275	-29.4417621808158	-12.3818840081116	1.3	ITG, Right Inferior Temporal Gyrus A20il, intermediate lateral area 20
mAHR8	58.1224178551672	-30.5585652926085	-11.2569391286254	1.3	MTG, Right Middle Temporal Gyrus A21c, caudal area 21
mAL1	-24.8816270253862	0.481477075149126	-21.8042498790169	1.3	Amyg, Left Amygdala mAmyg, medial amygdala
mAL2	-28.9191708530445	-2.27206808635323	-20.7592547268635	1.3	Amyg, Left Amygdala lAmyg, lateral amygdala
mAL3	-33.6849583364787	-4.79795953904003	-20.0836765470412	1.3	no_label_found
mAL4	-39.010151216059	-7.74636096019234	-19.1949743610482	1.3	no_label_found
mAL5	-44.2127678695346	-9.39265998266206	-18.311916160763	1.3	FuG, Left Fusiform Gyrus A20rv, rostroventral area 20
mAL6	-48.8312478234021	-12.4947267077646	-17.6332538583637	1.3	no_label_found
mAL7	-53.3465742354635	-15.5762822390924	-16.7765310005593	1.3	ITG, Left Inferior Temporal Gyrus A20il, intermediate lateral area 20
mAL8	-58.2903975407588	-18.6787947682816	-15.8418537140389	1.3	MTG, Left Middle Temporal Gyrus A21c, caudal area 21
mECL1	-21.8777789115551	0.163790246114855	-32.7144674448454	1.3	PhG, Left Parahippocampal Gyrus TI, area TI (temporal agranular insular cortex)
mECL2	-27.5786682955361	-0.400498953067739	-31.3975609764227	1.3	PhG, Left Parahippocampal Gyrus A35/36r, rostral area 35/36
mECL3	-33.3965681031095	1.07302961126471	-30.7017454886598	1.3	FuG, Left Fusiform Gyrus A20rv, rostroventral area 20
mECL4	-38.5407255396331	1.95424881544996	-29.704170773765	1.3	no_label_found
mECL5	-43.606836162429	3.11962011327723	-28.7588327817553	1.3	ITG, Left Inferior Temporal Gyrus A20r, rostral area 20
mECL6	-49.5523784635837	4.10623511439319	-27.9157674084653	1.3	MTG, Left Middle Temporal Gyrus A21r, rostral area 21
mECL7	-54.0086891165968	4.89772657968498	-26.873394593442	1.3	MTG, Left Middle Temporal Gyrus A21r, rostral area 21
mECL8	-59.2082353444431	5.70892291276791	-26.0883993314875	1.3	MTG, Left Middle Temporal Gyrus A21r, rostral area 21
mPHL1	-28.4953600591501	-28.8511492291961	-10.6643964467591	1.3	Hipp, Left Hippocampus cHipp, caudal hippocampus
mPHL2	-33.1340031748749	-31.6523108348052	-9.71631581964683	1.3	Hipp, Left Hippocampus cHipp, caudal hippocampus
mPHL3	-37.4744155186857	-35.6882839033827	-8.35298841563485	1.3	FuG, Left Fusiform Gyrus A20rv, rostroventral area 20
mPHL4	-40.000312507997	-39.9308212652479	-7.20625879872691	1.3	no_label_found
mPHL5	-43.7943798813544	-44.0471768459242	-6.11402958647169	1.3	FuG, Left Fusiform Gyrus A37lv, lateroventral area37
mPHL6	-47.155497555313	-47.8133494133897	-5.0490304331145	1.3	ITG, Left Inferior Temporal Gyrus A37elv, extreme lateroventral area37
mPHL7	-51.3781448441754	-51.8558474500481	-3.94322674911628	1.3	ITG, Left Inferior Temporal Gyrus A37vl, ventrolateral area 37
mPHL8	-54.6841076272679	-55.5988812600382	-2.86040843318951	1.3	ITG, Left Inferior Temporal Gyrus A37vl, ventrolateral area 37
