onset	duration	nTrial	begSample	endSample	SetSize	ProbeLetter	Match	Correct	ResponseTime	Artifact
0.005	8	1	1	1600	6	Q	OUT	1	1.399625	0
8.005	8	2	1601	3200	8	R	IN	1	1.216375	0
16.005	8	3	3201	4800	6	Q	OUT	1	1.397625	0
24.005	8	4	4801	6400	8	N	IN	1	3.34025	0
32.005	8	5	6401	8000	8	G	OUT	0	1.66725	0
40.005	8	6	8001	9600	4	C	IN	1	1.19925	0
48.005	8	7	9601	11200	4	H	IN	1	1.070125	0
56.005	8	8	11201	12800	4	T	IN	1	1.805875	0
64.005	8	9	12801	14400	6	R	IN	1	1.084375	0
72.005	8	10	14401	16000	8	B	IN	1	0.883125	0
80.005	8	11	16001	17600	4	T	OUT	1	1.6535	0
88.005	8	12	17601	19200	6	L	IN	1	1.70075	0
96.005	8	13	19201	20800	6	S	IN	1	1.02875	1
104.005	8	14	20801	22400	8	H	IN	1	1.752625	0
112.005	8	15	22401	24000	8	B	IN	1	1.238875	0
120.005	8	16	24001	25600	6	F	OUT	1	2.11475	0
128.005	8	17	25601	27200	4	T	OUT	1	1.229125	0
136.005	8	18	27201	28800	8	F	IN	1	1.34625	0
144.005	8	19	28801	30400	6	D	IN	1	1.266625	0
152.005	8	20	30401	32000	6	F	OUT	1	1.56475	0
160.005	8	21	32001	33600	8	C	OUT	1	2.6845	0
168.005	8	22	33601	35200	6	F	IN	1	4.98425	0
176.005	8	23	35201	36800	6	C	OUT	1	1.9505	0
184.005	8	24	36801	38400	6	C	OUT	1	1.58975	0
192.005	8	25	38401	40000	8	S	OUT	1	2.043375	0
200.005	8	26	40001	41600	8	W	IN	1	1.29175	1
208.005	8	27	41601	43200	8	V	OUT	1	1.45425	0
216.005	8	28	43201	44800	6	K	IN	1	1.3265	0
224.005	8	29	44801	46400	4	L	IN	1	1.668625	0
232.005	8	30	46401	48000	6	R	OUT	1	2.01625	0
240.005	8	31	48001	49600	8	Z	OUT	1	1.657625	0
248.005	8	32	49601	51200	8	B	OUT	0	1.64975	0
256.005	8	33	51201	52800	4	F	IN	1	1.238375	0
264.005	8	34	52801	54400	4	G	OUT	1	2.242125	0
272.005	8	35	54401	56000	4	V	OUT	1	1.3585	0
280.005	8	36	56001	57600	4	S	OUT	1	1.126625	0
288.005	8	37	57601	59200	4	S	IN	1	0.954875	0
296.005	8	38	59201	60800	6	P	OUT	1	2.47925	0
304.005	8	39	60801	62400	8	F	IN	1	1.472875	0
312.005	8	40	62401	64000	6	H	IN	1	1.6795	0
320.005	8	41	64001	65600	6	D	OUT	1	1.62575	1
328.005	8	42	65601	67200	4	L	IN	1	1.03325	0
336.005	8	43	67201	68800	4	H	OUT	1	1.57925	0
344.005	8	44	68801	70400	4	F	OUT	1	1.3785	0
352.005	8	45	70401	72000	8	D	IN	1	3.60675	0
360.005	8	46	72001	73600	4	R	IN	1	1.05825	0
368.005	8	47	73601	75200	8	S	IN	1	2.086375	0
376.005	8	48	75201	76800	6	R	IN	1	1.05025	0
384.005	8	49	76801	78400	4	L	IN	1	0.890375	0
392.005	8	50	78401	80000	4	D	IN	1	1.48575	0
