onset	duration	nTrial	begSample	endSample	SetSize	ProbeLetter	Match	Correct	ResponseTime	Artifact
0.0005	8	1	1	16000	8	Z	IN	1	1.449	0
8.0005	8	2	16001	32000	8	F	IN	1	1.0015	0
16.0005	8	3	32001	48000	4	B	OUT	1	1.13425	0
24.0005	8	4	48001	64000	4	D	IN	1	1.385	1
32.0005	8	5	64001	80000	4	T	OUT	1	1.45325	0
40.0005	8	6	80001	96000	8	H	OUT	1	1.07425	0
48.0005	8	7	96001	112000	6	T	OUT	1	1.10725	1
56.0005	8	8	112001	128000	8	F	OUT	0	1.1625	0
64.0005	8	9	128001	144000	8	C	IN	1	1.53475	0
72.0005	8	10	144001	160000	8	K	IN	1	1.5215	0
80.0005	8	11	160001	176000	6	T	OUT	1	1.11575	0
88.0005	8	12	176001	192000	4	C	IN	1	1.11625	0
96.0005	8	13	192001	208000	8	K	IN	1	0.986	0
104.0005	8	14	208001	224000	4	Z	OUT	1	0.86225	0
112.0005	8	15	224001	240000	8	S	OUT	1	0.948	0
120.0005	8	16	240001	256000	4	B	OUT	1	1.44425	0
128.0005	8	17	256001	272000	8	P	OUT	0	1.3185	0
136.0005	8	18	272001	288000	4	N	OUT	1	0.9355	0
144.0005	8	19	288001	304000	4	B	IN	1	1.143	1
152.0005	8	20	304001	320000	6	D	IN	1	1.1005	1
160.0005	8	21	320001	336000	8	W	IN	1	0.8135	0
168.0005	8	22	336001	352000	6	R	IN	1	0.82625	0
176.0005	8	23	352001	368000	8	Z	IN	1	1.09875	0
184.0005	8	24	368001	384000	4	Z	IN	1	1.29725	0
192.0005	8	25	384001	400000	8	N	IN	1	0.933	0
200.0005	8	26	400001	416000	6	H	IN	1	0.8395	0
208.0005	8	27	416001	432000	6	N	OUT	1	1.13	0
216.0005	8	28	432001	448000	6	S	OUT	1	1.04825	0
224.0005	8	29	448001	464000	6	G	IN	1	0.9835	0
232.0005	8	30	464001	480000	6	W	OUT	1	0.996	0
240.0005	8	31	480001	496000	6	N	IN	1	1.233	1
248.0005	8	32	496001	512000	6	C	IN	1	1.33825	1
256.0005	8	33	512001	528000	6	Q	OUT	1	1.0015	0
264.0005	8	34	528001	544000	4	C	OUT	1	0.8335	0
272.0005	8	35	544001	560000	8	T	IN	1	1.2915	0
280.0005	8	36	560001	576000	8	V	OUT	0	1.01375	0
288.0005	8	37	576001	592000	4	B	OUT	1	1.644	0
296.0005	8	38	592001	608000	4	D	OUT	1	0.911	0
304.0005	8	39	608001	624000	8	H	OUT	1	1.3165	1
312.0005	8	40	624001	640000	4	Q	OUT	1	0.90425	0
320.0005	8	41	640001	656000	8	C	OUT	1	0.90825	0
328.0005	8	42	656001	672000	6	B	OUT	1	1.8425	0
336.0005	8	43	672001	688000	6	B	IN	1	1.044	0
344.0005	8	44	688001	704000	4	Q	IN	1	0.86075	0
352.0005	8	45	704001	720000	8	C	OUT	1	0.9935	0
360.0005	8	46	720001	736000	8	L	IN	1	1.6105	0
368.0005	8	47	736001	752000	8	T	IN	1	1.46025	0
376.0005	8	48	752001	768000	6	V	IN	1	0.97825	0
384.0005	8	49	768001	784000	6	W	OUT	1	0.97175	0
