onset	duration	nTrial	begSample	endSample	SetSize	ProbeLetter	Match	Correct	ResponseTime	Artifact
0.0005	8	1	1	16000	8	Q	OUT	1	1.0235	0
8.0005	8	2	16001	32000	4	Q	IN	1	1.24525	0
16.0005	8	3	32001	48000	4	C	IN	1	1.172	0
24.0005	8	4	48001	64000	8	W	IN	1	1.78025	0
32.0005	8	5	64001	80000	8	W	OUT	0	1.417	0
40.0005	8	6	80001	96000	4	H	OUT	1	1.092	0
48.0005	8	7	96001	112000	6	H	OUT	1	0.767	0
56.0005	8	8	112001	128000	6	R	OUT	1	0.82525	0
64.0005	8	9	128001	144000	6	L	IN	1	1.06075	0
72.0005	8	10	144001	160000	8	P	OUT	1	0.95125	0
80.0005	8	11	160001	176000	6	Q	OUT	1	0.845	1
88.0005	8	12	176001	192000	4	R	OUT	1	0.83375	0
96.0005	8	13	192001	208000	6	T	OUT	1	0.8705	0
104.0005	8	14	208001	224000	6	G	IN	1	2.6855	0
112.0005	8	15	224001	240000	6	N	IN	1	0.89575	0
120.0005	8	16	240001	256000	4	L	IN	1	0.61125	0
128.0005	8	17	256001	272000	4	K	IN	1	0.777	0
136.0005	8	18	272001	288000	8	Q	IN	1	1.28175	0
144.0005	8	19	288001	304000	6	G	OUT	1	0.9585	0
152.0005	8	20	304001	320000	6	G	IN	1	0.9765	0
160.0005	8	21	320001	336000	6	B	OUT	1	1.537	0
168.0005	8	22	336001	352000	4	T	IN	1	1.006	0
176.0005	8	23	352001	368000	6	H	OUT	1	1.1825	0
184.0005	8	24	368001	384000	8	S	OUT	1	1.3925	0
192.0005	8	25	384001	400000	4	K	IN	1	1.09375	0
200.0005	8	26	400001	416000	8	L	IN	1	1.1775	0
208.0005	8	27	416001	432000	6	C	IN	1	1.0495	0
216.0005	8	28	432001	448000	6	H	IN	1	1.3575	0
224.0005	8	29	448001	464000	6	D	OUT	0	2.4355	0
232.0005	8	30	464001	480000	4	N	OUT	1	1.4275	0
240.0005	8	31	480001	496000	6	H	IN	1	1.4525	0
248.0005	8	32	496001	512000	4	C	IN	1	1.2035	0
256.0005	8	33	512001	528000	4	L	IN	1	1.209	0
264.0005	8	34	528001	544000	6	Q	IN	1	1.26625	0
272.0005	8	35	544001	560000	6	R	IN	0	3.928	0
280.0005	8	36	560001	576000	4	T	IN	1	1.00375	0
288.0005	8	37	576001	592000	8	B	OUT	1	0.94	0
296.0005	8	38	592001	608000	4	Z	IN	1	1.076	0
304.0005	8	39	608001	624000	8	V	OUT	1	1.475	0
312.0005	8	40	624001	640000	4	L	IN	1	1.11	0
320.0005	8	41	640001	656000	4	W	OUT	1	1.3015	0
328.0005	8	42	656001	672000	6	B	IN	0	1.93725	0
336.0005	8	43	672001	688000	4	G	OUT	1	0.96025	0
344.0005	8	44	688001	704000	8	G	OUT	1	1.03025	0
352.0005	8	45	704001	720000	6	F	IN	1	1.478	0
360.0005	8	46	720001	736000	4	L	OUT	1	1.727	0
368.0005	8	47	736001	752000	8	F	OUT	1	1.00525	0
376.0005	8	48	752001	768000	6	K	IN	1	1.04775	0
384.0005	8	49	768001	784000	8	Z	OUT	1	1.018	0
392.0005	8	50	784001	800000	6	B	OUT	1	1.3785	0
