name	type	units	low_cutoff	high_cutoff	sampling_frequency
mAHR1	SEEG	μV	1000	0.5	4000
mAHR2	SEEG	μV	1000	0.5	4000
mAHR3	SEEG	μV	1000	0.5	4000
mAHR4	SEEG	μV	1000	0.5	4000
mAHR5	SEEG	μV	1000	0.5	4000
mAHR6	SEEG	μV	1000	0.5	4000
mAHR7	SEEG	μV	1000	0.5	4000
mAHR8	SEEG	μV	1000	0.5	4000
mPHL1	SEEG	μV	1000	0.5	4000
mPHL2	SEEG	μV	1000	0.5	4000
mPHL3	SEEG	μV	1000	0.5	4000
mPHL4	SEEG	μV	1000	0.5	4000
mPHL5	SEEG	μV	1000	0.5	4000
mPHL6	SEEG	μV	1000	0.5	4000
mPHL7	SEEG	μV	1000	0.5	4000
mPHL8	SEEG	μV	1000	0.5	4000
mPHR1	SEEG	μV	1000	0.5	4000
mPHR2	SEEG	μV	1000	0.5	4000
mPHR3	SEEG	μV	1000	0.5	4000
mPHR4	SEEG	μV	1000	0.5	4000
mPHR5	SEEG	μV	1000	0.5	4000
mPHR6	SEEG	μV	1000	0.5	4000
mPHR7	SEEG	μV	1000	0.5	4000
mPHR8	SEEG	μV	1000	0.5	4000
mTBAL1	ECOG	μV	1000	0.5	4000
mTBAL2	ECOG	μV	1000	0.5	4000
mTBAL3	ECOG	μV	1000	0.5	4000
mTBAL4	ECOG	μV	1000	0.5	4000
mTBPL1	ECOG	μV	1000	0.5	4000
mTBPL2	ECOG	μV	1000	0.5	4000
mTBPL3	ECOG	μV	1000	0.5	4000
mTBPL4	ECOG	μV	1000	0.5	4000
mTLSL1	ECOG	μV	1000	0.5	4000
mTLSL2	ECOG	μV	1000	0.5	4000
mTLSL3	ECOG	μV	1000	0.5	4000
mTLSL4	ECOG	μV	1000	0.5	4000
