onset	duration	nTrial	begSample	endSample	SetSize	ProbeLetter	Match	Correct	ResponseTime	Artifact
0.00025	8	1	1	32000	8	n/a	IN	1	0.74175	0
8.00025	8	2	32001	64000	4	n/a	IN	1	0.82375	0
16.00025	8	3	64001	96000	6	n/a	IN	1	0.7775	0
24.00025	8	4	96001	128000	4	n/a	IN	1	0.78625	0
32.00025	8	5	128001	160000	8	n/a	OUT	0	1.0585	0
40.00025	8	6	160001	192000	4	n/a	OUT	1	1.209	0
48.00025	8	7	192001	224000	4	n/a	IN	1	0.86475	0
56.00025	8	8	224001	256000	6	n/a	IN	1	0.7675	0
64.00025	8	9	256001	288000	8	n/a	OUT	1	1.3195	0
72.00025	8	10	288001	320000	4	n/a	IN	1	1.16225	0
80.00025	8	11	320001	352000	4	n/a	IN	1	1.49275	0
88.00025	8	12	352001	384000	4	n/a	OUT	1	1.08275	0
96.00025	8	13	384001	416000	8	n/a	IN	1	1.01475	0
104.00025	8	14	416001	448000	6	n/a	IN	1	1.07025	0
112.00025	8	15	448001	480000	8	n/a	OUT	1	1.0525	0
120.00025	8	16	480001	512000	4	n/a	IN	1	0.91075	0
128.00025	8	17	512001	544000	0	n/a	n/a	0	0	1
136.00025	8	18	544001	576000	8	n/a	IN	1	0.90925	0
144.00025	8	19	576001	608000	4	n/a	IN	1	0.7975	0
152.00025	8	20	608001	640000	6	n/a	IN	1	1.65925	0
160.00025	8	21	640001	672000	8	n/a	IN	1	0.84425	0
168.00025	8	22	672001	704000	4	n/a	IN	1	0.934	0
176.00025	8	23	704001	736000	8	n/a	IN	0	1.967	0
184.00025	8	24	736001	768000	4	n/a	OUT	1	1.12025	0
192.00025	8	25	768001	800000	0	n/a	n/a	0	0	1
200.00025	8	26	800001	832000	6	n/a	IN	1	1.2295	0
208.00025	8	27	832001	864000	4	n/a	IN	1	0.81	0
216.00025	8	28	864001	896000	6	n/a	OUT	1	1.272	0
224.00025	8	29	896001	928000	4	n/a	OUT	1	1.02725	0
232.00025	8	30	928001	960000	4	n/a	OUT	1	0.894	0
240.00025	8	31	960001	992000	6	n/a	IN	1	0.961	0
248.00025	8	32	992001	1024000	4	n/a	OUT	1	1.127	0
256.00025	8	33	1024001	1056000	8	n/a	OUT	1	1.01725	0
264.00025	8	34	1056001	1088000	4	n/a	IN	1	0.96775	0
272.00025	8	35	1088001	1120000	4	n/a	IN	1	1.1055	0
280.00025	8	36	1120001	1152000	8	n/a	IN	0	1.268	0
288.00025	8	37	1152001	1184000	4	n/a	IN	1	0.9525	0
296.00025	8	38	1184001	1216000	8	n/a	OUT	0	1.2715	0
304.00025	8	39	1216001	1248000	4	n/a	OUT	1	1.04375	0
312.00025	8	40	1248001	1280000	6	n/a	OUT	1	1.6215	0
320.00025	8	41	1280001	1312000	8	n/a	OUT	1	1.81375	0
328.00025	8	42	1312001	1344000	8	n/a	IN	1	0.8175	0
336.00025	8	43	1344001	1376000	4	n/a	IN	0	1.16825	0
344.00025	8	44	1376001	1408000	4	n/a	IN	1	1.401	0
352.00025	8	45	1408001	1440000	8	n/a	OUT	1	1.1285	0
360.00025	8	46	1440001	1472000	4	n/a	OUT	1	1.002	0
368.00025	8	47	1472001	1504000	4	n/a	OUT	0	1.43775	0
376.00025	8	48	1504001	1536000	4	n/a	IN	1	0.97575	0
