onset	duration	nTrial	begSample	endSample	SetSize	ProbeLetter	Match	Correct	ResponseTime	Artifact
0.0005	8	1	1	16000	8	X	IN	0	1.94	0
8.0005	8	2	16001	32000	4	X	OUT	1	1.1755	1
16.0005	8	3	32001	48000	8	X	IN	1	1.2395	1
24.0005	8	4	48001	64000	8	X	OUT	1	1.35525	0
32.0005	8	5	64001	80000	8	X	IN	0	1.47475	0
40.0005	8	6	80001	96000	4	X	OUT	1	0.899	0
48.0005	8	7	96001	112000	6	X	OUT	1	0.92775	0
56.0005	8	8	112001	128000	4	X	IN	1	1.13225	0
64.0005	8	9	128001	144000	6	X	OUT	1	1.0245	0
72.0005	8	10	144001	160000	8	X	IN	1	2.21325	0
80.0005	8	11	160001	176000	6	X	IN	0	1.92375	0
88.0005	8	12	176001	192000	4	X	IN	1	1.0705	0
96.0005	8	13	192001	208000	6	X	OUT	1	1.118	0
104.0005	8	14	208001	224000	4	X	IN	1	0.8865	0
112.0005	8	15	224001	240000	4	X	IN	1	1.86825	0
120.0005	8	16	240001	256000	8	X	IN	0	1.34075	0
128.0005	8	17	256001	272000	4	X	IN	1	0.86125	1
136.0005	8	18	272001	288000	8	X	OUT	0	5.948	0
144.0005	8	19	288001	304000	4	X	IN	1	0.86225	0
152.0005	8	20	304001	320000	6	X	OUT	1	1.0955	0
160.0005	8	21	320001	336000	6	X	OUT	0	1.62175	0
168.0005	8	22	336001	352000	4	X	OUT	1	5.217	1
176.0005	8	23	352001	368000	8	X	OUT	1	1.02175	1
184.0005	8	24	368001	384000	4	X	IN	1	1.088	0
192.0005	8	25	384001	400000	8	X	OUT	1	0.92475	0
200.0005	8	26	400001	416000	8	X	OUT	1	1.2475	1
208.0005	8	27	416001	432000	8	X	IN	1	0.83875	0
216.0005	8	28	432001	448000	4	X	OUT	0	2.694	0
224.0005	8	29	448001	464000	4	X	OUT	1	0.9115	0
232.0005	8	30	464001	480000	8	X	OUT	1	0.90875	0
240.0005	8	31	480001	496000	4	X	IN	1	1.0465	1
248.0005	8	32	496001	512000	4	X	IN	1	0.8015	0
256.0005	8	33	512001	528000	4	X	OUT	1	0.78275	0
264.0005	8	34	528001	544000	4	X	IN	1	0.83475	0
272.0005	8	35	544001	560000	6	X	OUT	1	1.43175	0
280.0005	8	36	560001	576000	4	X	IN	0	0.845	0
288.0005	8	37	576001	592000	4	X	IN	1	0.7345	0
296.0005	8	38	592001	608000	8	X	OUT	1	1.8455	0
304.0005	8	39	608001	624000	8	X	OUT	0	1.38825	0
312.0005	8	40	624001	640000	4	X	OUT	1	0.8025	0
320.0005	8	41	640001	656000	8	X	OUT	1	1.29275	0
328.0005	8	42	656001	672000	8	X	IN	1	0.65575	0
336.0005	8	43	672001	688000	4	X	OUT	1	1.04225	0
344.0005	8	44	688001	704000	8	X	IN	1	1.1395	0
352.0005	8	45	704001	720000	8	X	OUT	1	1.56	0
360.0005	8	46	720001	736000	6	X	OUT	0	1.1775	0
368.0005	8	47	736001	752000	4	X	OUT	1	0.84025	0
376.0005	8	48	752001	768000	6	X	OUT	1	1.041	0
384.0005	8	49	768001	784000	8	X	IN	1	1.157	0
392.0005	8	50	784001	800000	4	X	OUT	1	0.9235	0
