onset	duration	nTrial	begSample	endSample	SetSize	ProbeLetter	Match	Correct	ResponseTime	Artifact
0.005	8	1	1	1600	4	Q	OUT	1	1.17125	0
8.005	8	2	1601	3200	4	G	IN	1	0.949	0
16.005	8	3	3201	4800	4	B	IN	1	1.02725	0
24.005	8	4	4801	6400	4	Q	IN	1	1.0315	0
32.005	8	5	6401	8000	6	W	IN	1	1.088	0
40.005	8	6	8001	9600	8	F	IN	1	1.08925	0
48.005	8	7	9601	11200	6	T	OUT	1	1.31325	0
56.005	8	8	11201	12800	8	W	IN	1	1.3305	1
64.005	8	9	12801	14400	8	G	OUT	1	1.539	0
72.005	8	10	14401	16000	6	G	OUT	1	1.36875	0
80.005	8	11	16001	17600	6	P	OUT	1	1.354	0
88.005	8	12	17601	19200	8	V	IN	1	1.0015	0
96.005	8	13	19201	20800	4	L	OUT	1	1.7335	0
104.005	8	14	20801	22400	4	D	OUT	1	1.051	0
112.005	8	15	22401	24000	8	L	IN	1	2.0715	0
120.005	8	16	24001	25600	4	T	IN	1	1.4945	0
128.005	8	17	25601	27200	4	K	OUT	1	1.2045	0
136.005	8	18	27201	28800	8	L	OUT	1	1.05275	0
144.005	8	19	28801	30400	6	C	OUT	1	1.315	0
152.005	8	20	30401	32000	8	D	OUT	0	2.23525	0
160.005	8	21	32001	33600	4	R	OUT	1	1.16325	0
168.005	8	22	33601	35200	4	V	OUT	1	1.16525	0
176.005	8	23	35201	36800	8	H	IN	1	1.42875	0
184.005	8	24	36801	38400	4	Z	IN	1	1.2925	0
192.005	8	25	38401	40000	6	K	OUT	1	1.192	0
200.005	8	26	40001	41600	4	T	OUT	1	2.50075	0
208.005	8	27	41601	43200	8	P	OUT	1	1.1075	0
216.005	8	28	43201	44800	8	S	OUT	1	1.094	0
224.005	8	29	44801	46400	4	C	IN	1	2.09	0
232.005	8	30	46401	48000	8	F	OUT	1	1.9965	0
240.005	8	31	48001	49600	6	L	IN	1	1.24375	0
248.005	8	32	49601	51200	6	T	OUT	0	2.39975	0
256.005	8	33	51201	52800	4	D	OUT	1	1.01975	0
264.005	8	34	52801	54400	4	L	IN	1	1.85675	0
272.005	8	35	54401	56000	8	N	IN	1	1.0075	0
280.005	8	36	56001	57600	4	Q	IN	1	0.91	0
288.005	8	37	57601	59200	6	K	IN	1	2.66925	0
296.005	8	38	59201	60800	8	H	IN	1	1.17225	0
304.005	8	39	60801	62400	4	H	OUT	1	1.80675	0
312.005	8	40	62401	64000	8	T	OUT	1	2.82525	0
320.005	8	41	64001	65600	4	P	OUT	1	2.35625	0
328.005	8	42	65601	67200	4	R	OUT	1	2.10425	0
336.005	8	43	67201	68800	6	H	OUT	1	1.25	0
344.005	8	44	68801	70400	6	H	OUT	1	1.408	0
352.005	8	45	70401	72000	8	H	IN	0	2.42575	0
360.005	8	46	72001	73600	4	N	OUT	1	1.7625	0
368.005	8	47	73601	75200	6	R	OUT	1	1.12925	0
376.005	8	48	75201	76800	4	K	IN	1	1.3195	0
384.005	8	49	76801	78400	8	Q	OUT	1	1.15325	0
