onset	duration	nTrial	begSample	endSample	SetSize	ProbeLetter	Match	Correct	ResponseTime	Artifact
0.005	8	1	1	1600	6	X	IN	1	7.40475	1
8.005	8	2	1601	3200	6	X	OUT	1	2.32525	0
16.005	8	3	3201	4800	6	X	IN	1	1.418	0
24.005	8	4	4801	6400	8	X	OUT	1	1.32925	1
32.005	8	5	6401	8000	4	X	IN	1	0.998	1
40.005	8	6	8001	9600	8	X	OUT	1	1.0235	0
48.005	8	7	9601	11200	8	X	OUT	1	1.2105	0
56.005	8	8	11201	12800	6	X	OUT	1	1.31575	0
64.005	8	9	12801	14400	8	X	OUT	1	1.7785	0
72.005	8	10	14401	16000	4	X	OUT	1	2.0485	1
80.005	8	11	16001	17600	4	X	IN	1	1.76625	0
88.005	8	12	17601	19200	6	X	OUT	1	1.118	0
96.005	8	13	19201	20800	8	X	OUT	1	2.268	0
104.005	8	14	20801	22400	8	X	IN	0	1.2065	0
112.005	8	15	22401	24000	4	X	OUT	1	1.27825	1
120.005	8	16	24001	25600	4	X	IN	1	1.08925	0
128.005	8	17	25601	27200	8	X	OUT	1	1.31275	0
136.005	8	18	27201	28800	6	X	OUT	1	1.1865	0
144.005	8	19	28801	30400	8	X	OUT	1	1.675	0
152.005	8	20	30401	32000	4	X	IN	1	1.7655	1
160.005	8	21	32001	33600	6	X	IN	1	2.497	0
168.005	8	22	33601	35200	4	X	OUT	1	1.2975	1
176.005	8	23	35201	36800	6	X	IN	1	2.77625	0
184.005	8	24	36801	38400	8	X	OUT	0	2.20775	0
192.005	8	25	38401	40000	4	X	IN	1	1.69425	0
200.005	8	26	40001	41600	4	X	IN	1	1.81075	0
208.005	8	27	41601	43200	4	X	OUT	1	2.82975	1
216.005	8	28	43201	44800	8	X	IN	1	1.894	0
224.005	8	29	44801	46400	6	X	IN	1	1.8315	0
232.005	8	30	46401	48000	6	X	IN	1	2.48725	0
240.005	8	31	48001	49600	4	X	IN	1	1.25075	0
248.005	8	32	49601	51200	6	X	OUT	1	2.43575	0
256.005	8	33	51201	52800	4	X	IN	1	1.671	0
264.005	8	34	52801	54400	4	X	IN	1	1.412	1
272.005	8	35	54401	56000	6	X	OUT	1	1.9085	1
280.005	8	36	56001	57600	4	X	IN	1	1.49025	1
288.005	8	37	57601	59200	8	X	OUT	0	1.8085	0
296.005	8	38	59201	60800	4	X	IN	1	2.2975	1
304.005	8	39	60801	62400	4	X	IN	1	1.34025	0
312.005	8	40	62401	64000	8	X	OUT	0	1.42825	1
320.005	8	41	64001	65600	4	X	IN	1	1.6015	0
328.005	8	42	65601	67200	8	X	IN	0	3.745	0
336.005	8	43	67201	68800	4	X	OUT	1	1.5315	1
344.005	8	44	68801	70400	4	X	OUT	1	1.1325	1
352.005	8	45	70401	72000	6	X	OUT	1	2.08225	0
360.005	8	46	72001	73600	8	X	OUT	1	4.99125	1
368.005	8	47	73601	75200	8	X	IN	1	2.0855	0
376.005	8	48	75201	76800	8	X	OUT	1	1.56525	0
384.005	8	49	76801	78400	4	X	IN	0	1.95825	1
392.005	8	50	78401	80000	4	X	IN	1	1.33775	0
