name	type	units	low_cutoff	high_cutoff	sampling_frequency
A1	EEG	μV	1000	0.5	4096
A2	EEG	μV	1000	0.5	4096
C3	EEG	μV	1000	0.5	4096
C4	EEG	μV	1000	0.5	4096
Cz	EEG	μV	1000	0.5	4096
F3	EEG	μV	1000	0.5	4096
F4	EEG	μV	1000	0.5	4096
F7	EEG	μV	1000	0.5	4096
F8	EEG	μV	1000	0.5	4096
Fp1	EEG	μV	1000	0.5	4096
Fp2	EEG	μV	1000	0.5	4096
Fz	EEG	μV	1000	0.5	4096
O1	EEG	μV	1000	0.5	4096
O2	EEG	μV	1000	0.5	4096
P3	EEG	μV	1000	0.5	4096
P4	EEG	μV	1000	0.5	4096
Pz	EEG	μV	1000	0.5	4096
T3	EEG	μV	1000	0.5	4096
T5	EEG	μV	1000	0.5	4096
T6	EEG	μV	1000	0.5	4096
