onset	duration	nTrial	begSample	endSample	SetSize	ProbeLetter	Match	Correct	ResponseTime	Artifact
0.0005	8	1	1	16000	8	H	OUT	1	2.484	0
8.0005	8	2	16001	32000	4	T	IN	1	1.66775	0
16.0005	8	3	32001	48000	8	L	OUT	1	1.472	0
24.0005	8	4	48001	64000	6	G	OUT	1	1.30875	0
32.0005	8	5	64001	80000	8	S	OUT	1	1.51625	0
40.0005	8	6	80001	96000	4	R	IN	1	0.899	0
48.0005	8	7	96001	112000	8	N	OUT	1	1.132	0
56.0005	8	8	112001	128000	8	Z	IN	1	1.58025	0
64.0005	8	9	128001	144000	4	Z	OUT	1	0.8845	0
72.0005	8	10	144001	160000	6	V	OUT	1	0.943	0
80.0005	8	11	160001	176000	8	G	OUT	1	1.4325	0
88.0005	8	12	176001	192000	6	D	IN	1	1.6255	0
96.0005	8	13	192001	208000	4	L	OUT	1	1.005	0
104.0005	8	14	208001	224000	8	B	IN	0	3.138	0
112.0005	8	15	224001	240000	4	Q	OUT	1	1.0215	0
120.0005	8	16	240001	256000	6	C	IN	1	1.202	0
128.0005	8	17	256001	272000	4	B	OUT	1	1.02025	0
136.0005	8	18	272001	288000	6	D	OUT	1	0.9565	0
144.0005	8	19	288001	304000	8	D	OUT	1	2.12025	0
152.0005	8	20	304001	320000	6	D	OUT	1	1.81125	0
160.0005	8	21	320001	336000	8	Q	OUT	1	1.06975	0
168.0005	8	22	336001	352000	4	D	OUT	1	0.86775	0
176.0005	8	23	352001	368000	8	B	IN	0	1.69575	0
184.0005	8	24	368001	384000	4	C	IN	1	1.0185	1
192.0005	8	25	384001	400000	6	P	IN	1	1.158	0
200.0005	8	26	400001	416000	4	P	IN	1	1.45775	0
208.0005	8	27	416001	432000	4	W	OUT	1	1.0485	0
216.0005	8	28	432001	448000	4	B	IN	1	1.21975	0
224.0005	8	29	448001	464000	6	W	IN	1	1.56975	0
232.0005	8	30	464001	480000	8	D	OUT	1	3.123	0
240.0005	8	31	480001	496000	4	Q	OUT	1	0.9145	0
248.0005	8	32	496001	512000	4	P	IN	1	1.3775	0
256.0005	8	33	512001	528000	8	F	OUT	1	1.3565	0
264.0005	8	34	528001	544000	6	V	IN	1	1.0465	0
272.0005	8	35	544001	560000	6	D	IN	0	1.30975	0
280.0005	8	36	560001	576000	4	Q	IN	1	0.99175	0
288.0005	8	37	576001	592000	4	T	OUT	1	1.783	0
296.0005	8	38	592001	608000	8	T	IN	1	1.16075	0
304.0005	8	39	608001	624000	8	C	OUT	0	1.17225	0
312.0005	8	40	624001	640000	4	V	OUT	1	0.84075	0
320.0005	8	41	640001	656000	8	R	IN	1	1.46525	0
328.0005	8	42	656001	672000	4	G	OUT	1	0.89475	0
336.0005	8	43	672001	688000	6	P	OUT	1	3.32575	0
344.0005	8	44	688001	704000	8	B	OUT	1	2.44725	0
352.0005	8	45	704001	720000	8	C	OUT	0	0.9585	0
360.0005	8	46	720001	736000	4	P	OUT	1	0.9475	0
368.0005	8	47	736001	752000	6	L	IN	0	2.49325	0
376.0005	8	48	752001	768000	4	V	IN	1	0.84625	1
384.0005	8	49	768001	784000	4	F	OUT	1	0.88425	0
392.0005	8	50	784001	800000	4	Q	OUT	1	0.85875	0
