onset	duration	nTrial	begSample	endSample	SetSize	ProbeLetter	Match	Correct	ResponseTime	Artifact
0.005	8	1	1	1600	4	N	IN	1	1.713	0
8.005	8	2	1601	3200	4	S	IN	1	1.06625	0
16.005	8	3	3201	4800	6	T	IN	0	1.400125	0
24.005	8	4	4801	6400	4	R	IN	1	0.86775	0
32.005	8	5	6401	8000	6	K	IN	1	0.98725	0
40.005	8	6	8001	9600	8	C	IN	0	1.224375	0
48.005	8	7	9601	11200	4	P	IN	1	0.979875	0
56.005	8	8	11201	12800	8	H	IN	1	1.033625	0
64.005	8	9	12801	14400	8	Z	IN	1	1.0465	0
72.005	8	10	14401	16000	6	F	OUT	0	1.717125	0
80.005	8	11	16001	17600	4	H	OUT	1	1.014	0
88.005	8	12	17601	19200	4	G	OUT	1	0.81825	0
96.005	8	13	19201	20800	6	G	IN	1	2.51275	0
104.005	8	14	20801	22400	8	Q	OUT	1	0.97175	0
112.005	8	15	22401	24000	6	S	OUT	1	0.985375	0
120.005	8	16	24001	25600	8	V	OUT	1	1.651875	0
128.005	8	17	25601	27200	4	Q	IN	1	1.1535	0
136.005	8	18	27201	28800	4	Q	IN	1	0.898	0
144.005	8	19	28801	30400	4	C	OUT	1	1.003	0
152.005	8	20	30401	32000	8	K	OUT	1	1.951	0
160.005	8	21	32001	33600	4	D	IN	1	1.2055	0
168.005	8	22	33601	35200	4	L	IN	1	0.8805	1
176.005	8	23	35201	36800	4	P	OUT	1	1.007125	0
184.005	8	24	36801	38400	8	C	OUT	1	1.824375	0
192.005	8	25	38401	40000	6	P	IN	1	1.307625	0
200.005	8	26	40001	41600	8	N	OUT	1	1.51675	0
208.005	8	27	41601	43200	8	V	OUT	1	1.969875	0
216.005	8	28	43201	44800	6	C	OUT	1	1.68125	0
224.005	8	29	44801	46400	6	F	IN	1	1.582625	0
232.005	8	30	46401	48000	8	G	IN	1	1.141875	0
240.005	8	31	48001	49600	6	L	IN	1	1.20875	0
248.005	8	32	49601	51200	4	F	IN	1	1.245625	0
256.005	8	33	51201	52800	6	S	IN	1	1.063125	0
264.005	8	34	52801	54400	4	N	OUT	1	0.995125	0
272.005	8	35	54401	56000	8	F	IN	1	1.41875	0
280.005	8	36	56001	57600	4	V	IN	1	1.093375	0
288.005	8	37	57601	59200	6	L	IN	1	1.006625	0
296.005	8	38	59201	60800	6	H	OUT	1	1.33375	0
304.005	8	39	60801	62400	6	W	OUT	1	1.32425	1
312.005	8	40	62401	64000	4	B	OUT	1	1.062125	0
320.005	8	41	64001	65600	4	R	IN	1	1.356125	0
328.005	8	42	65601	67200	4	P	IN	1	1.17675	0
336.005	8	43	67201	68800	6	W	IN	1	1.272625	0
344.005	8	44	68801	70400	8	T	IN	1	1.6175	0
352.005	8	45	70401	72000	4	B	IN	1	1.354875	0
360.005	8	46	72001	73600	6	R	IN	1	0.96575	0
368.005	8	47	73601	75200	6	S	OUT	1	1.385375	0
376.005	8	48	75201	76800	6	G	IN	1	1.875375	0
384.005	8	49	76801	78400	4	D	IN	1	0.884375	0
