name	x	y	z	size	AnatomicalLocation
AHR1	32.5325410175644	-10.0370005801963	-30.1589815412275	1.3	PhG, Right Parahippocampal Gyrus A35/36r, rostral area 35/36
AHR2	35.1191817772314	-9.59222709177934	-30.3432029971417	1.3	FuG, Right Fusiform Gyrus A20rv, rostroventral area 20
AHR3	39.6468155490473	-9.38486514053197	-30.5734926240695	1.3	FuG, Right Fusiform Gyrus A20rv, rostroventral area 20
AHR4	45.9082760476001	-9.25998316904409	-30.8046257990967	1.3	no_label_found
AHR5	50.8271068934948	-10.3589481289599	-30.7402633169207	1.3	ITG, Right Inferior Temporal Gyrus A20il, intermediate lateral area 20
AHR6	56.2369555357502	-11.6196675643956	-30.5818056598029	1.3	ITG, Right Inferior Temporal Gyrus A20il, intermediate lateral area 20
AHR7	60.3207374413469	-11.5890150892151	-30.8795923909862	1.3	ITG, Right Inferior Temporal Gyrus A20il, intermediate lateral area 20
AHR8	63.9555488809415	-11.3410582837136	-28.6575870592363	1.3	no_label_found
AL1	-15.2286687025711	2.26912168675311	-32.0593043863691	1.3	no_label_found
AL2	-19.225605121709	2.46195488819996	-30.8962003698814	1.3	PhG, Left Parahippocampal Gyrus A28/34, area 28/34 (EC, entorhinal cortex)
AL3	-24.1604566093454	2.29727182554776	-32.1458749244895	1.3	PhG, Left Parahippocampal Gyrus TI, area TI (temporal agranular insular cortex)
AL4	-32.5622735230422	2.38066308733134	-32.083694413504	1.3	no_label_found
AL5	-39.2023215165593	2.23430522499276	-33.4224784397747	1.3	no_label_found
AL6	-45.3301134709503	3.10271765112897	-33.5749196953127	1.3	MTG, Left Middle Temporal Gyrus A21r, rostral area 21
AL7	-50.9838147632704	2.56149872672844	-33.5152417084448	1.3	MTG, Left Middle Temporal Gyrus A21r, rostral area 21
AL8	-55.5702294619423	3.45174016927563	-33.6024866100492	1.3	MTG, Left Middle Temporal Gyrus A21r, rostral area 21
AR1	22.4505523061736	4.77190028766964	-32.7206270075585	1.3	STG, Right Superior Temporal Gyrus A38m, medial area 38
AR2	26.6175519146168	4.6004073514332	-34.5284197783139	1.3	STG, Right Superior Temporal Gyrus A38m, medial area 38
AR3	30.7179662894969	4.49734343824208	-35.7566708799681	1.3	no_label_found
AR4	35.5937705974409	4.29904119270758	-37.7898219812439	1.3	FuG, Right Fusiform Gyrus A20rv, rostroventral area 20
AR5	41.645483032259	5.24647018823609	-40.2551958628463	1.3	ITG, Right Inferior Temporal Gyrus A20r, rostral area 20
AR6	47.1333331253967	4.99307176666842	-42.515208318081	1.3	MTG, Right Middle Temporal Gyrus A21r, rostral area 21
AR7	50.5978330588474	4.72979908743111	-45.0175291059642	1.3	no_label_found
AR8	55.4165629559714	4.64807500699733	-45.3326466725451	1.3	no_label_found
ECR1	28.6031556244137	-1.94997142177886	-51.1390363416969	1.3	no_label_found
ECR2	33.0032632652729	-1.46422561503094	-46.8376307980666	1.3	FuG, Right Fusiform Gyrus A20rv, rostroventral area 20
ECR3	37.3198561140575	-1.20328440708077	-44.6974653366824	1.3	ITG, Right Inferior Temporal Gyrus A20r, rostral area 20
ECR4	42.6494880434952	-0.876840465346462	-41.7581456911595	1.3	ITG, Right Inferior Temporal Gyrus A20r, rostral area 20
ECR5	47.2428903228951	-0.655785359542998	-39.6365031233683	1.3	ITG, Right Inferior Temporal Gyrus A20r, rostral area 20
ECR6	52.5625702822249	-0.26709117967317	-35.5510502877311	1.3	MTG, Right Middle Temporal Gyrus A21r, rostral area 21
ECR7	58.0689286418984	-0.0444759414087651	-32.9598868929034	1.3	MTG, Right Middle Temporal Gyrus A21r, rostral area 21
ECR8	62.0069657736761	0.0907446567777359	-31.280778456621	1.3	no_label_found
GAR1	65.2363108108928	-22.1307590566152	8.49022461837673	4	STG, Right Superior Temporal Gyrus A41/42, area 41/42
GAR2	63.3520001108234	-18.4332157361759	22.8073748064278	4	PoG, Right Postcentral Gyrus A1/2/3tonIa, area 1/2/3 (tongue and larynx region)
GAR3	60.7352138990929	-17.1965087485036	35.5009522172548	4	PoG, Right Postcentral Gyrus A2, area 2
GAR4	55.1439146769816	-16.1580706484713	46.1623631113711	4	PoG, Right Postcentral Gyrus A1/2/3ulhf, area 1/2/3 (upper limb, head and face region)
GAR5	43.0186037446178	-14.8221688985283	58.5913777999247	4	PrG, Right Precentral Gyrus A4hf, area 4 (head and face region)
GAR6	33.5563263686898	-14.0152449096991	65.3787973432354	4	PrG, Right Precentral Gyrus A6cdl, caudal dorsolateral area 6
GSR1	65.3570778222338	-32.1621876230257	8.88798751493397	4	STG, Right Superior Temporal Gyrus A22c, caudal area 22
GSR2	64.8333121484824	-39.3921832020107	14.4218017470457	4	STG, Right Superior Temporal Gyrus A22c, caudal area 22
GSR3	60.9025301583548	-50.043413983027	20.4303060067838	4	IPL, Right Inferior Parietal Lobule A40c, caudal area 40 (PFm)
GSR4	55.8226231084162	-55.9748725996854	26.5903146987979	4	IPL, Right Inferior Parietal Lobule A39rv, rostroventral area 39 (PGa)
GSR5	48.2175090572545	-63.1193662166229	32.7297442695281	4	IPL, Right Inferior Parietal Lobule A39rv, rostroventral area 39 (PGa)
GSR6	40.6288705389564	-69.6247811311778	40.4542491888727	4	IPL, Right Inferior Parietal Lobule A39rv, rostroventral area 39 (PGa)
HIR1	37.8056303078739	-7.7686140419824	-9.75517572959943	1.3	INS, Right Insular Gyrus vId/vIg, ventral dysgranular and granular insula
HIR2	37.5417474040698	-4.18728038451136	-6.18673279014378	1.3	INS, Right Insular Gyrus vId/vIg, ventral dysgranular and granular insula
HIR3	35.0230038359796	-0.617789068429855	-1.20838036810407	1.3	no_label_found
HIR4	33.3495953223567	3.66235651370109	4.18419291648044	1.3	INS, Right Insular Gyrus dId, dorsal dysgranular insula
HIR5	32.8537520098355	9.51647602487778	7.52006056435221	1.3	INS, Right Insular Gyrus dId, dorsal dysgranular insula
HIR6	30.6075073914015	12.4738594020703	13.4742042513587	1.3	INS, Right Insular Gyrus dIa, dorsal agranular insula
HIR7	29.0846421567605	15.5785457144648	17.843772311779	1.3	no_label_found
HIR8	28.8859895609607	20.4015885669811	21.4741960876827	1.3	no_label_found
HL1	-26.2814872403065	-23.4208693980005	-21.0573196701015	1.3	no_label_found
HL2	-29.6951864037481	-23.7042456483294	-23.2043215641315	1.3	PhG, Left Parahippocampal Gyrus TL, area TL (lateral PPHC, posterior parahippocampal gyrus)
HL3	-32.6200275612137	-22.3751368789761	-23.4641716825118	1.3	PhG, Left Parahippocampal Gyrus TL, area TL (lateral PPHC, posterior parahippocampal gyrus)
HL4	-35.3022541502128	-21.9140785261634	-23.4652793063606	1.3	PhG, Left Parahippocampal Gyrus TL, area TL (lateral PPHC, posterior parahippocampal gyrus)
HL5	-40.0218035439378	-20.5369838885994	-23.5447748082768	1.3	FuG, Left Fusiform Gyrus A20rv, rostroventral area 20
HL6	-44.2464288783618	-20.6491488968608	-24.9670131102896	1.3	FuG, Left Fusiform Gyrus A20rv, rostroventral area 20
HL7	-50.4664993628288	-20.745500447994	-26.7296260265788	1.3	ITG, Left Inferior Temporal Gyrus A20cv, caudoventral of area 20
HL8	-55.5237818107456	-20.6258622647523	-26.5685771699183	1.3	ITG, Left Inferior Temporal Gyrus A20cv, caudoventral of area 20
PHR1	35.9301763662961	-25.9253883877605	-19.9553746911521	1.3	FuG, Right Fusiform Gyrus A20rv, rostroventral area 20
PHR2	38.3359294347493	-25.9232505015344	-20.3094142199467	1.3	FuG, Right Fusiform Gyrus A20rv, rostroventral area 20
PHR3	44.5556656748314	-25.7321586120664	-19.7570488706792	1.3	ITG, Right Inferior Temporal Gyrus A20iv, intermediate ventral area 20
PHR4	50.8669762724809	-25.5816104092887	-19.9169757107572	1.3	no_label_found
PHR5	55.2105161416091	-25.4602328015913	-19.9792358190238	1.3	ITG, Right Inferior Temporal Gyrus A20il, intermediate lateral area 20
PHR6	60.6244720396493	-25.2984376807343	-20.0016938896407	1.3	ITG, Right Inferior Temporal Gyrus A20il, intermediate lateral area 20
PHR7	66.1544773202156	-25.2149313366857	-20.9727421723594	1.3	MTG, Right Middle Temporal Gyrus A21c, caudal area 21
PHR8	69.3961855419153	-25.0965412695492	-20.6912707215875	1.3	MTG, Right Middle Temporal Gyrus A21c, caudal area 21
