onset	duration	nTrial	begSample	endSample	SetSize	ProbeLetter	Match	Correct	ResponseTime	Artifact
0.0005	8	1	1	16000	8	X	IN	1	1.6685	0
8.0005	8	2	16001	32000	8	X	IN	1	1.88625	0
16.0005	8	3	32001	48000	8	X	OUT	1	1.442	0
24.0005	8	4	48001	64000	8	X	IN	1	1.2695	1
32.0005	8	5	64001	80000	8	X	OUT	1	1.51775	0
40.0005	8	6	80001	96000	8	X	OUT	1	1.78175	0
48.0005	8	7	96001	112000	8	X	IN	1	1.24825	0
56.0005	8	8	112001	128000	6	X	OUT	1	1.5515	0
64.0005	8	9	128001	144000	8	X	IN	1	1.2795	0
72.0005	8	10	144001	160000	8	X	OUT	1	1.56875	0
80.0005	8	11	160001	176000	8	X	OUT	1	1.49	1
88.0005	8	12	176001	192000	4	X	IN	1	1.40375	0
96.0005	8	13	192001	208000	8	X	IN	1	1.93	0
104.0005	8	14	208001	224000	4	X	IN	1	1.296	0
112.0005	8	15	224001	240000	6	X	IN	1	1.42425	1
120.0005	8	16	240001	256000	6	X	OUT	1	1.18275	0
128.0005	8	17	256001	272000	6	X	OUT	1	1.2285	0
136.0005	8	18	272001	288000	4	X	IN	1	1.678	0
144.0005	8	19	288001	304000	8	X	IN	1	1.526	0
152.0005	8	20	304001	320000	8	X	IN	1	1.52625	0
160.0005	8	21	320001	336000	4	X	IN	1	1.34075	0
168.0005	8	22	336001	352000	6	X	OUT	1	1.34675	0
176.0005	8	23	352001	368000	6	X	OUT	1	1.75925	1
184.0005	8	24	368001	384000	6	X	IN	1	1.18125	0
192.0005	8	25	384001	400000	8	X	IN	1	1.539	0
200.0005	8	26	400001	416000	8	X	IN	1	2.08475	1
208.0005	8	27	416001	432000	4	X	OUT	1	1.16125	0
216.0005	8	28	432001	448000	8	X	IN	1	1.527	0
224.0005	8	29	448001	464000	6	X	IN	1	1.052	1
232.0005	8	30	464001	480000	8	X	OUT	1	2.0095	0
240.0005	8	31	480001	496000	4	X	IN	1	0.9925	0
248.0005	8	32	496001	512000	6	X	OUT	1	1.36375	0
256.0005	8	33	512001	528000	8	X	OUT	1	1.2375	1
264.0005	8	34	528001	544000	4	X	IN	1	1.088	0
272.0005	8	35	544001	560000	6	X	OUT	1	1.19725	0
280.0005	8	36	560001	576000	6	X	OUT	1	1.317	0
288.0005	8	37	576001	592000	4	X	OUT	1	1.30825	0
296.0005	8	38	592001	608000	8	X	IN	1	1.1845	0
304.0005	8	39	608001	624000	6	X	IN	1	1.2455	0
312.0005	8	40	624001	640000	6	X	IN	1	1.56675	0
320.0005	8	41	640001	656000	8	X	IN	1	1.0145	0
328.0005	8	42	656001	672000	6	X	OUT	1	1.43	0
336.0005	8	43	672001	688000	8	X	OUT	1	1.2035	0
344.0005	8	44	688001	704000	4	X	OUT	1	1.38525	0
352.0005	8	45	704001	720000	6	X	IN	1	1.0655	0
360.0005	8	46	720001	736000	4	X	IN	1	1.61375	0
368.0005	8	47	736001	752000	8	X	IN	1	1.31975	0
376.0005	8	48	752001	768000	8	X	OUT	1	1.275	0
