name	type	units	low_cutoff	high_cutoff	sampling_frequency
F3	EEG	μV	1000	0.5	200
F4	EEG	μV	1000	0.5	200
C3	EEG	μV	1000	0.5	200
C4	EEG	μV	1000	0.5	200
P3	EEG	μV	1000	0.5	200
P4	EEG	μV	1000	0.5	200
O1	EEG	μV	1000	0.5	200
O2	EEG	μV	1000	0.5	200
F7	EEG	μV	1000	0.5	200
F8	EEG	μV	1000	0.5	200
T3	EEG	μV	1000	0.5	200
T4	EEG	μV	1000	0.5	200
T5	EEG	μV	1000	0.5	200
T6	EEG	μV	1000	0.5	200
Fz	EEG	μV	1000	0.5	200
Cz	EEG	μV	1000	0.5	200
Pz	EEG	μV	1000	0.5	200
A1	EEG	μV	1000	0.5	200
A2	EEG	μV	1000	0.5	200
