onset	duration	nTrial	begSample	endSample	SetSize	ProbeLetter	Match	Correct	ResponseTime	Artifact
0.005	8	1	1	1600	8	X	IN	0	0.86675	0
8.005	8	2	1601	3200	4	X	OUT	1	0.77975	0
16.005	8	3	3201	4800	4	X	OUT	1	1.115	0
24.005	8	4	4801	6400	6	X	OUT	1	1.05975	0
32.005	8	5	6401	8000	6	X	OUT	0	1.1815	0
40.005	8	6	8001	9600	4	X	OUT	1	0.9365	0
48.005	8	7	9601	11200	4	X	OUT	1	0.806	0
56.005	8	8	11201	12800	4	X	OUT	1	0.9355	0
64.005	8	9	12801	14400	6	X	OUT	1	0.90375	0
72.005	8	10	14401	16000	8	X	IN	1	1.117	0
80.005	8	11	16001	17600	4	X	IN	1	0.846	0
88.005	8	12	17601	19200	4	X	OUT	1	1.00225	0
96.005	8	13	19201	20800	8	X	IN	1	1.208	0
104.005	8	14	20801	22400	4	X	IN	1	1.0505	0
112.005	8	15	22401	24000	4	X	IN	1	1.19275	0
120.005	8	16	24001	25600	4	X	OUT	1	2.484	0
128.005	8	17	25601	27200	8	X	IN	1	0.81575	0
136.005	8	18	27201	28800	6	X	OUT	1	0.8815	0
144.005	8	19	28801	30400	6	X	IN	0	0.91625	0
152.005	8	20	30401	32000	4	X	IN	1	0.9615	0
160.005	8	21	32001	33600	4	X	IN	1	1.15475	1
168.005	8	22	33601	35200	6	X	IN	0	1.04925	0
176.005	8	23	35201	36800	4	X	OUT	1	1.004	0
184.005	8	24	36801	38400	6	X	OUT	1	0.94	0
192.005	8	25	38401	40000	6	X	IN	1	0.7575	0
200.005	8	26	40001	41600	6	X	IN	1	0.779	0
208.005	8	27	41601	43200	8	X	OUT	1	0.86225	0
216.005	8	28	43201	44800	4	X	IN	1	0.876	0
224.005	8	29	44801	46400	6	X	OUT	0	1.2645	0
232.005	8	30	46401	48000	4	X	IN	1	0.84425	0
240.005	8	31	48001	49600	6	X	OUT	1	1.15075	0
248.005	8	32	49601	51200	8	X	OUT	0	0.959	0
256.005	8	33	51201	52800	4	X	OUT	1	0.856	0
264.005	8	34	52801	54400	8	X	OUT	1	0.92875	0
272.005	8	35	54401	56000	8	X	OUT	1	1.08175	0
280.005	8	36	56001	57600	6	X	OUT	1	0.8465	0
288.005	8	37	57601	59200	4	X	IN	1	0.70225	0
296.005	8	38	59201	60800	4	X	OUT	1	0.7235	0
304.005	8	39	60801	62400	6	X	IN	1	0.6835	0
312.005	8	40	62401	64000	4	X	IN	1	0.7355	0
320.005	8	41	64001	65600	8	X	IN	1	1.06125	0
328.005	8	42	65601	67200	6	X	OUT	1	0.85825	0
336.005	8	43	67201	68800	8	X	OUT	1	0.957	0
344.005	8	44	68801	70400	8	X	IN	1	1.67425	0
352.005	8	45	70401	72000	4	X	OUT	1	0.7715	0
360.005	8	46	72001	73600	6	X	IN	1	0.861	0
