onset	duration	nTrial	begSample	endSample	SetSize	ProbeLetter	Match	Correct	ResponseTime	Artifact
0.005	8	1	1	1600	4	X	OUT	1	1.108	0
8.005	8	2	1601	3200	6	X	IN	1	0.93125	0
16.005	8	3	3201	4800	8	X	OUT	0	3.51425	1
24.005	8	4	4801	6400	4	X	IN	1	1.092	0
32.005	8	5	6401	8000	8	X	IN	1	0.96275	0
40.005	8	6	8001	9600	6	X	OUT	1	1.13275	0
48.005	8	7	9601	11200	6	X	IN	0	0.83725	0
56.005	8	8	11201	12800	4	X	IN	1	0.7805	0
64.005	8	9	12801	14400	8	X	IN	0	0.89525	0
72.005	8	10	14401	16000	4	X	OUT	1	1.60575	0
80.005	8	11	16001	17600	8	X	IN	1	3.1715	0
88.005	8	12	17601	19200	4	X	OUT	1	3.26075	0
96.005	8	13	19201	20800	4	X	OUT	1	1.427	0
104.005	8	14	20801	22400	4	X	IN	1	1.03	0
112.005	8	15	22401	24000	6	X	IN	1	2.94175	0
120.005	8	16	24001	25600	8	X	IN	1	0.8215	0
128.005	8	17	25601	27200	6	X	OUT	1	0.916	0
136.005	8	18	27201	28800	4	X	OUT	1	0.829	1
144.005	8	19	28801	30400	6	X	IN	1	0.84225	0
152.005	8	20	30401	32000	6	X	OUT	1	0.8825	1
160.005	8	21	32001	33600	4	X	IN	1	0.8225	0
168.005	8	22	33601	35200	4	X	IN	1	0.746	0
176.005	8	23	35201	36800	4	X	IN	1	0.9435	0
184.005	8	24	36801	38400	8	X	OUT	1	1.32225	0
192.005	8	25	38401	40000	6	X	OUT	1	0.81475	0
200.005	8	26	40001	41600	4	X	OUT	1	0.87525	0
208.005	8	27	41601	43200	4	X	OUT	1	0.89175	0
216.005	8	28	43201	44800	6	X	IN	1	0.9175	0
224.005	8	29	44801	46400	4	X	IN	1	0.8615	0
232.005	8	30	46401	48000	8	X	OUT	1	0.88875	0
240.005	8	31	48001	49600	6	X	IN	1	0.9785	0
248.005	8	32	49601	51200	4	X	IN	1	0.94225	0
256.005	8	33	51201	52800	8	X	OUT	1	1.31525	0
264.005	8	34	52801	54400	4	X	OUT	1	0.886	0
272.005	8	35	54401	56000	6	X	IN	1	1.92075	0
280.005	8	36	56001	57600	4	X	IN	1	1.2065	0
288.005	8	37	57601	59200	6	X	IN	1	1.33	0
296.005	8	38	59201	60800	8	X	OUT	1	0.89675	0
304.005	8	39	60801	62400	8	X	IN	1	0.67975	0
312.005	8	40	62401	64000	4	X	OUT	1	2.38175	0
320.005	8	41	64001	65600	6	X	IN	1	0.857	0
328.005	8	42	65601	67200	8	X	IN	1	0.7785	0
336.005	8	43	67201	68800	8	X	IN	0	1.14475	0
344.005	8	44	68801	70400	4	X	OUT	1	1.0565	1
352.005	8	45	70401	72000	4	X	OUT	1	0.88525	0
360.005	8	46	72001	73600	6	X	OUT	1	0.8855	0
368.005	8	47	73601	75200	4	X	IN	1	0.954	0
376.005	8	48	75201	76800	4	X	OUT	1	0.947	0
384.005	8	49	76801	78400	8	X	OUT	1	3.01175	0
392.005	8	50	78401	80000	6	X	IN	1	1.544	0
