name	type	units	low_cutoff	high_cutoff	sampling_frequency
A1	EEG	μV	1000	0.5	4000
A2	EEG	μV	1000	0.5	4000
C3	EEG	μV	1000	0.5	4000
C4	EEG	μV	1000	0.5	4000
Cz	EEG	μV	1000	0.5	4000
F3	EEG	μV	1000	0.5	4000
F4	EEG	μV	1000	0.5	4000
F7	EEG	μV	1000	0.5	4000
F8	EEG	μV	1000	0.5	4000
Fp1	EEG	μV	1000	0.5	4000
Fp2	EEG	μV	1000	0.5	4000
Fz	EEG	μV	1000	0.5	4000
O1	EEG	μV	1000	0.5	4000
O2	EEG	μV	1000	0.5	4000
P3	EEG	μV	1000	0.5	4000
P4	EEG	μV	1000	0.5	4000
Pz	EEG	μV	1000	0.5	4000
T4	EEG	μV	1000	0.5	4000
T5	EEG	μV	1000	0.5	4000
T6	EEG	μV	1000	0.5	4000
