session_id	acq_time
ses-01	2018-10-24T17:07:31
ses-02	2018-10-24T17:07:31
ses-03	2018-10-25T11:40:41
ses-04	2018-10-25T11:57:14
ses-05	2018-10-27T16:23:30
ses-06	2018-10-27T16:51:00
