onset	duration	nTrial	begSample	endSample	SetSize	ProbeLetter	Match	Correct	ResponseTime	Artifact
0.005	8	1	1	1600	8	X	IN	1	1.6685	0
8.005	8	2	1601	3200	8	X	IN	1	1.88625	0
16.005	8	3	3201	4800	8	X	OUT	1	1.442	0
24.005	8	4	4801	6400	8	X	IN	1	1.2695	1
32.005	8	5	6401	8000	8	X	OUT	1	1.51775	0
40.005	8	6	8001	9600	8	X	OUT	1	1.78175	0
48.005	8	7	9601	11200	8	X	IN	1	1.24825	0
56.005	8	8	11201	12800	6	X	OUT	1	1.5515	0
64.005	8	9	12801	14400	8	X	IN	1	1.2795	0
72.005	8	10	14401	16000	8	X	OUT	1	1.56875	0
80.005	8	11	16001	17600	8	X	OUT	1	1.49	1
88.005	8	12	17601	19200	4	X	IN	1	1.40375	0
96.005	8	13	19201	20800	8	X	IN	1	1.93	0
104.005	8	14	20801	22400	4	X	IN	1	1.296	0
112.005	8	15	22401	24000	6	X	IN	1	1.42425	1
120.005	8	16	24001	25600	6	X	OUT	1	1.18275	0
128.005	8	17	25601	27200	6	X	OUT	1	1.2285	0
136.005	8	18	27201	28800	4	X	IN	1	1.678	0
144.005	8	19	28801	30400	8	X	IN	1	1.526	0
152.005	8	20	30401	32000	8	X	IN	1	1.52625	0
160.005	8	21	32001	33600	4	X	IN	1	1.34075	0
168.005	8	22	33601	35200	6	X	OUT	1	1.34675	0
176.005	8	23	35201	36800	6	X	OUT	1	1.75925	1
184.005	8	24	36801	38400	6	X	IN	1	1.18125	0
192.005	8	25	38401	40000	8	X	IN	1	1.539	0
200.005	8	26	40001	41600	8	X	IN	1	2.08475	1
208.005	8	27	41601	43200	4	X	OUT	1	1.16125	0
216.005	8	28	43201	44800	8	X	IN	1	1.527	0
224.005	8	29	44801	46400	6	X	IN	1	1.052	1
232.005	8	30	46401	48000	8	X	OUT	1	2.0095	0
240.005	8	31	48001	49600	4	X	IN	1	0.9925	0
248.005	8	32	49601	51200	6	X	OUT	1	1.36375	0
256.005	8	33	51201	52800	8	X	OUT	1	1.2375	1
264.005	8	34	52801	54400	4	X	IN	1	1.088	0
272.005	8	35	54401	56000	6	X	OUT	1	1.19725	0
280.005	8	36	56001	57600	6	X	OUT	1	1.317	0
288.005	8	37	57601	59200	4	X	OUT	1	1.30825	0
296.005	8	38	59201	60800	8	X	IN	1	1.1845	0
304.005	8	39	60801	62400	6	X	IN	1	1.2455	0
312.005	8	40	62401	64000	6	X	IN	1	1.56675	0
320.005	8	41	64001	65600	8	X	IN	1	1.0145	0
328.005	8	42	65601	67200	6	X	OUT	1	1.43	0
336.005	8	43	67201	68800	8	X	OUT	1	1.2035	0
344.005	8	44	68801	70400	4	X	OUT	1	1.38525	0
352.005	8	45	70401	72000	6	X	IN	1	1.0655	0
360.005	8	46	72001	73600	4	X	IN	1	1.61375	0
368.005	8	47	73601	75200	8	X	IN	1	1.31975	0
376.005	8	48	75201	76800	8	X	OUT	1	1.275	0
