onset	duration	nTrial	begSample	endSample	SetSize	ProbeLetter	Match	Correct	ResponseTime	Artifact
0.0005	8	1	1	16000	8	D	IN	1	1.16375	0
8.0005	8	2	16001	32000	4	C	OUT	1	1.13425	1
16.0005	8	3	32001	48000	8	L	OUT	1	0.93	0
24.0005	8	4	48001	64000	8	W	IN	1	0.85675	0
32.0005	8	5	64001	80000	8	G	OUT	1	0.81025	0
40.0005	8	6	80001	96000	8	Z	OUT	0	0.99075	0
48.0005	8	7	96001	112000	4	F	IN	1	0.707	1
56.0005	8	8	112001	128000	8	G	IN	1	0.823	0
64.0005	8	9	128001	144000	8	R	IN	1	0.86925	0
72.0005	8	10	144001	160000	4	Z	OUT	1	0.7985	0
80.0005	8	11	160001	176000	6	Z	IN	0	2.59325	0
88.0005	8	12	176001	192000	4	C	IN	1	0.89175	0
96.0005	8	13	192001	208000	8	K	IN	1	1.377	0
104.0005	8	14	208001	224000	4	Z	IN	1	2.941	0
112.0005	8	15	224001	240000	4	B	IN	1	1.10525	0
120.0005	8	16	240001	256000	6	K	OUT	1	1.98775	0
128.0005	8	17	256001	272000	8	G	IN	1	0.907	0
136.0005	8	18	272001	288000	6	K	OUT	1	0.974	0
144.0005	8	19	288001	304000	6	C	IN	1	0.70125	0
152.0005	8	20	304001	320000	6	P	OUT	1	1.737	0
160.0005	8	21	320001	336000	4	R	OUT	0	2.06725	0
168.0005	8	22	336001	352000	4	P	OUT	1	0.8465	0
176.0005	8	23	352001	368000	8	D	OUT	0	1.02225	0
184.0005	8	24	368001	384000	4	Q	IN	1	1.1495	0
192.0005	8	25	384001	400000	4	R	OUT	1	2.89325	0
200.0005	8	26	400001	416000	4	T	OUT	1	1.29625	0
208.0005	8	27	416001	432000	8	V	OUT	0	1.203	0
216.0005	8	28	432001	448000	4	S	OUT	1	1.3305	0
224.0005	8	29	448001	464000	4	D	OUT	1	1.04875	0
232.0005	8	30	464001	480000	4	Q	OUT	1	2.217	0
240.0005	8	31	480001	496000	8	P	OUT	1	0.944	0
248.0005	8	32	496001	512000	4	H	IN	1	0.8965	0
256.0005	8	33	512001	528000	8	Q	IN	0	1.28425	0
264.0005	8	34	528001	544000	4	L	OUT	1	0.92575	0
272.0005	8	35	544001	560000	6	T	OUT	1	1.0435	0
280.0005	8	36	560001	576000	6	P	OUT	1	0.89225	0
288.0005	8	37	576001	592000	8	N	OUT	1	0.858	0
296.0005	8	38	592001	608000	6	H	OUT	1	0.76175	0
304.0005	8	39	608001	624000	4	D	OUT	1	2.0985	0
312.0005	8	40	624001	640000	8	B	OUT	1	1.806	0
320.0005	8	41	640001	656000	6	G	OUT	1	0.9085	0
328.0005	8	42	656001	672000	6	N	OUT	1	0.88175	0
336.0005	8	43	672001	688000	6	Q	OUT	1	0.8675	0
344.0005	8	44	688001	704000	6	R	IN	1	5.10075	0
352.0005	8	45	704001	720000	4	R	IN	1	0.8145	0
360.0005	8	46	720001	736000	4	C	OUT	1	0.788	0
368.0005	8	47	736001	752000	6	V	IN	1	0.87925	0
376.0005	8	48	752001	768000	6	V	OUT	1	0.8815	0
384.0005	8	49	768001	784000	8	R	OUT	1	1.12875	0
