onset	duration	nTrial	begSample	endSample	SetSize	ProbeLetter	Match	Correct	ResponseTime	Artifact
0.0005	8	1	1	16000	6	Q	OUT	1	1.399625	0
8.0005	8	2	16001	32000	8	R	IN	1	1.216375	0
16.0005	8	3	32001	48000	6	Q	OUT	1	1.397625	0
24.0005	8	4	48001	64000	8	N	IN	1	3.34025	0
32.0005	8	5	64001	80000	8	G	OUT	0	1.66725	0
40.0005	8	6	80001	96000	4	C	IN	1	1.19925	0
48.0005	8	7	96001	112000	4	H	IN	1	1.070125	0
56.0005	8	8	112001	128000	4	T	IN	1	1.805875	0
64.0005	8	9	128001	144000	6	R	IN	1	1.084375	0
72.0005	8	10	144001	160000	8	B	IN	1	0.883125	0
80.0005	8	11	160001	176000	4	T	OUT	1	1.6535	0
88.0005	8	12	176001	192000	6	L	IN	1	1.70075	0
96.0005	8	13	192001	208000	6	S	IN	1	1.02875	1
104.0005	8	14	208001	224000	8	H	IN	1	1.752625	0
112.0005	8	15	224001	240000	8	B	IN	1	1.238875	0
120.0005	8	16	240001	256000	6	F	OUT	1	2.11475	0
128.0005	8	17	256001	272000	4	T	OUT	1	1.229125	0
136.0005	8	18	272001	288000	8	F	IN	1	1.34625	0
144.0005	8	19	288001	304000	6	D	IN	1	1.266625	0
152.0005	8	20	304001	320000	6	F	OUT	1	1.56475	0
160.0005	8	21	320001	336000	8	C	OUT	1	2.6845	0
168.0005	8	22	336001	352000	6	F	IN	1	4.98425	0
176.0005	8	23	352001	368000	6	C	OUT	1	1.9505	0
184.0005	8	24	368001	384000	6	C	OUT	1	1.58975	0
192.0005	8	25	384001	400000	8	S	OUT	1	2.043375	0
200.0005	8	26	400001	416000	8	W	IN	1	1.29175	1
208.0005	8	27	416001	432000	8	V	OUT	1	1.45425	0
216.0005	8	28	432001	448000	6	K	IN	1	1.3265	0
224.0005	8	29	448001	464000	4	L	IN	1	1.668625	0
232.0005	8	30	464001	480000	6	R	OUT	1	2.01625	0
240.0005	8	31	480001	496000	8	Z	OUT	1	1.657625	0
248.0005	8	32	496001	512000	8	B	OUT	0	1.64975	0
256.0005	8	33	512001	528000	4	F	IN	1	1.238375	0
264.0005	8	34	528001	544000	4	G	OUT	1	2.242125	0
272.0005	8	35	544001	560000	4	V	OUT	1	1.3585	0
280.0005	8	36	560001	576000	4	S	OUT	1	1.126625	0
288.0005	8	37	576001	592000	4	S	IN	1	0.954875	0
296.0005	8	38	592001	608000	6	P	OUT	1	2.47925	0
304.0005	8	39	608001	624000	8	F	IN	1	1.472875	0
312.0005	8	40	624001	640000	6	H	IN	1	1.6795	0
320.0005	8	41	640001	656000	6	D	OUT	1	1.62575	1
328.0005	8	42	656001	672000	4	L	IN	1	1.03325	0
336.0005	8	43	672001	688000	4	H	OUT	1	1.57925	0
344.0005	8	44	688001	704000	4	F	OUT	1	1.3785	0
352.0005	8	45	704001	720000	8	D	IN	1	3.60675	0
360.0005	8	46	720001	736000	4	R	IN	1	1.05825	0
368.0005	8	47	736001	752000	8	S	IN	1	2.086375	0
376.0005	8	48	752001	768000	6	R	IN	1	1.05025	0
384.0005	8	49	768001	784000	4	L	IN	1	0.890375	0
392.0005	8	50	784001	800000	4	D	IN	1	1.48575	0
