name	type	units	low_cutoff	high_cutoff	sampling_frequency
AHL1	SEEG	μV	1000	0.5	4096
AHL2	SEEG	μV	1000	0.5	4096
AHL3	SEEG	μV	1000	0.5	4096
AHL4	SEEG	μV	1000	0.5	4096
AHL5	SEEG	μV	1000	0.5	4096
AHL6	SEEG	μV	1000	0.5	4096
AHL7	SEEG	μV	1000	0.5	4096
AHL8	SEEG	μV	1000	0.5	4096
AHR1	SEEG	μV	1000	0.5	4096
AHR2	SEEG	μV	1000	0.5	4096
AHR3	SEEG	μV	1000	0.5	4096
AHR4	SEEG	μV	1000	0.5	4096
AHR5	SEEG	μV	1000	0.5	4096
AHR6	SEEG	μV	1000	0.5	4096
AHR7	SEEG	μV	1000	0.5	4096
AHR8	SEEG	μV	1000	0.5	4096
AL1	SEEG	μV	1000	0.5	4096
AL2	SEEG	μV	1000	0.5	4096
AL3	SEEG	μV	1000	0.5	4096
AL4	SEEG	μV	1000	0.5	4096
AL5	SEEG	μV	1000	0.5	4096
AL6	SEEG	μV	1000	0.5	4096
AL7	SEEG	μV	1000	0.5	4096
AL8	SEEG	μV	1000	0.5	4096
AR1	SEEG	μV	1000	0.5	4096
AR2	SEEG	μV	1000	0.5	4096
AR3	SEEG	μV	1000	0.5	4096
AR4	SEEG	μV	1000	0.5	4096
AR5	SEEG	μV	1000	0.5	4096
AR6	SEEG	μV	1000	0.5	4096
AR7	SEEG	μV	1000	0.5	4096
AR8	SEEG	μV	1000	0.5	4096
ECL1	SEEG	μV	1000	0.5	4096
ECL2	SEEG	μV	1000	0.5	4096
ECL3	SEEG	μV	1000	0.5	4096
ECL4	SEEG	μV	1000	0.5	4096
ECL5	SEEG	μV	1000	0.5	4096
ECL6	SEEG	μV	1000	0.5	4096
ECL7	SEEG	μV	1000	0.5	4096
ECL8	SEEG	μV	1000	0.5	4096
ECR1	SEEG	μV	1000	0.5	4096
ECR2	SEEG	μV	1000	0.5	4096
ECR3	SEEG	μV	1000	0.5	4096
ECR4	SEEG	μV	1000	0.5	4096
ECR5	SEEG	μV	1000	0.5	4096
ECR6	SEEG	μV	1000	0.5	4096
ECR7	SEEG	μV	1000	0.5	4096
ECR8	SEEG	μV	1000	0.5	4096
PHL1	SEEG	μV	1000	0.5	4096
PHL2	SEEG	μV	1000	0.5	4096
PHL3	SEEG	μV	1000	0.5	4096
PHL4	SEEG	μV	1000	0.5	4096
PHL5	SEEG	μV	1000	0.5	4096
PHL6	SEEG	μV	1000	0.5	4096
PHL7	SEEG	μV	1000	0.5	4096
PHL8	SEEG	μV	1000	0.5	4096
PHR1	SEEG	μV	1000	0.5	4096
PHR2	SEEG	μV	1000	0.5	4096
PHR3	SEEG	μV	1000	0.5	4096
PHR4	SEEG	μV	1000	0.5	4096
PHR5	SEEG	μV	1000	0.5	4096
PHR6	SEEG	μV	1000	0.5	4096
PHR7	SEEG	μV	1000	0.5	4096
PHR8	SEEG	μV	1000	0.5	4096
