onset	duration	nTrial	begSample	endSample	SetSize	ProbeLetter	Match	Correct	ResponseTime	Artifact
0.005	8	1	1	1600	6	X	OUT	1	1.41675	0
8.005	8	2	1601	3200	6	X	IN	1	2.2185	0
16.005	8	3	3201	4800	6	X	IN	1	1.45625	0
24.005	8	4	4801	6400	6	X	OUT	1	1.085	0
32.005	8	5	6401	8000	8	X	IN	1	1.53525	0
40.005	8	6	8001	9600	4	X	OUT	1	1.53975	0
48.005	8	7	9601	11200	4	X	OUT	1	1.31425	0
56.005	8	8	11201	12800	4	X	OUT	1	1.0685	0
64.005	8	9	12801	14400	4	X	IN	1	1.3765	0
72.005	8	10	14401	16000	6	X	IN	1	1.3115	0
80.005	8	11	16001	17600	8	X	OUT	1	1.3395	0
88.005	8	12	17601	19200	8	X	OUT	1	1.36825	0
96.005	8	13	19201	20800	8	X	OUT	1	1.085	0
104.005	8	14	20801	22400	6	X	IN	1	1.76425	0
112.005	8	15	22401	24000	6	X	IN	1	1.54475	0
120.005	8	16	24001	25600	8	X	IN	1	1.20775	0
128.005	8	17	25601	27200	6	X	IN	1	0.9955	0
136.005	8	18	27201	28800	6	X	IN	1	1.453	0
144.005	8	19	28801	30400	8	X	IN	1	1.23	0
152.005	8	20	30401	32000	6	X	IN	1	1.454	0
160.005	8	21	32001	33600	6	X	OUT	1	1.187	0
168.005	8	22	33601	35200	8	X	IN	0	1.17	0
176.005	8	23	35201	36800	4	X	OUT	1	1.5895	0
184.005	8	24	36801	38400	8	X	IN	1	2.4105	0
192.005	8	25	38401	40000	6	X	IN	1	1.6715	0
200.005	8	26	40001	41600	4	X	OUT	1	1.197	0
208.005	8	27	41601	43200	6	X	OUT	1	1.36275	1
216.005	8	28	43201	44800	8	X	OUT	1	2.267	0
224.005	8	29	44801	46400	4	X	OUT	1	1.0895	0
232.005	8	30	46401	48000	4	X	IN	1	1.412	0
240.005	8	31	48001	49600	8	X	OUT	1	1.43125	0
248.005	8	32	49601	51200	6	X	IN	0	1.08	0
256.005	8	33	51201	52800	4	X	IN	1	1.154	0
264.005	8	34	52801	54400	4	X	IN	1	1.112	0
272.005	8	35	54401	56000	6	X	OUT	1	1.24175	0
280.005	8	36	56001	57600	4	X	OUT	1	1.31475	1
288.005	8	37	57601	59200	4	X	IN	1	1.35175	0
296.005	8	38	59201	60800	6	X	OUT	1	2.8635	0
304.005	8	39	60801	62400	4	X	OUT	1	0.923	0
312.005	8	40	62401	64000	4	X	IN	1	1.22825	0
320.005	8	41	64001	65600	4	X	OUT	0	1.002	0
328.005	8	42	65601	67200	4	X	IN	1	0.9735	0
336.005	8	43	67201	68800	4	X	OUT	1	0.99625	1
344.005	8	44	68801	70400	6	X	OUT	1	1.1845	0
352.005	8	45	70401	72000	4	X	IN	1	0.917	0
360.005	8	46	72001	73600	6	X	OUT	0	1.13275	0
368.005	8	47	73601	75200	4	X	IN	1	1.02375	0
