onset	duration	nTrial	begSample	endSample	SetSize	ProbeLetter	Match	Correct	ResponseTime	Artifact
0.0005	8	1	1	16000	6	X	OUT	1	1.04025	0
8.0005	8	2	16001	32000	8	X	IN	1	1.271	1
16.0005	8	3	32001	48000	4	X	IN	1	1.37325	0
24.0005	8	4	48001	64000	6	X	OUT	1	0.877	0
32.0005	8	5	64001	80000	8	X	OUT	1	1.04825	0
40.0005	8	6	80001	96000	4	X	IN	1	0.93	0
48.0005	8	7	96001	112000	8	X	OUT	1	1.09125	0
56.0005	8	8	112001	128000	6	X	IN	0	1.397	0
64.0005	8	9	128001	144000	4	X	OUT	1	1.18475	0
72.0005	8	10	144001	160000	8	X	IN	1	1.32575	0
80.0005	8	11	160001	176000	8	X	IN	1	0.88475	0
88.0005	8	12	176001	192000	6	X	IN	0	0.8725	0
96.0005	8	13	192001	208000	4	X	OUT	1	0.8425	0
104.0005	8	14	208001	224000	6	X	IN	0	1.09675	0
112.0005	8	15	224001	240000	4	X	IN	1	0.849	0
120.0005	8	16	240001	256000	8	X	OUT	1	1.05225	0
128.0005	8	17	256001	272000	8	X	OUT	1	1.4425	0
136.0005	8	18	272001	288000	4	X	OUT	1	0.92375	0
144.0005	8	19	288001	304000	8	X	OUT	1	1.28775	1
152.0005	8	20	304001	320000	6	X	IN	0	1.3185	0
160.0005	8	21	320001	336000	4	X	IN	1	0.91375	0
168.0005	8	22	336001	352000	4	X	OUT	1	1.13425	0
176.0005	8	23	352001	368000	6	X	OUT	1	1.199	0
184.0005	8	24	368001	384000	8	X	OUT	1	2.7095	0
192.0005	8	25	384001	400000	8	X	OUT	1	0.89575	0
200.0005	8	26	400001	416000	6	X	OUT	1	1.46625	0
208.0005	8	27	416001	432000	8	X	IN	0	1.435	0
216.0005	8	28	432001	448000	4	X	OUT	1	1.00075	0
224.0005	8	29	448001	464000	8	X	IN	0	1.1455	0
232.0005	8	30	464001	480000	4	X	OUT	1	1.3955	0
240.0005	8	31	480001	496000	8	X	OUT	1	1.43875	0
248.0005	8	32	496001	512000	6	X	OUT	1	1.4435	0
256.0005	8	33	512001	528000	6	X	IN	1	0.6935	0
264.0005	8	34	528001	544000	6	X	OUT	1	1.1265	0
272.0005	8	35	544001	560000	4	X	IN	1	0.78925	0
280.0005	8	36	560001	576000	4	X	IN	1	0.9085	0
288.0005	8	37	576001	592000	4	X	OUT	1	0.9605	0
296.0005	8	38	592001	608000	6	X	OUT	1	1.41475	0
304.0005	8	39	608001	624000	4	X	OUT	1	0.9355	0
312.0005	8	40	624001	640000	6	X	OUT	1	1.1965	0
320.0005	8	41	640001	656000	4	X	IN	1	0.76375	0
328.0005	8	42	656001	672000	4	X	OUT	1	1.13325	0
336.0005	8	43	672001	688000	8	X	OUT	1	1.07375	0
344.0005	8	44	688001	704000	8	X	OUT	0	0.82675	0
352.0005	8	45	704001	720000	4	X	IN	0	0.87875	0
360.0005	8	46	720001	736000	4	X	OUT	1	1.00875	0
368.0005	8	47	736001	752000	4	X	IN	1	1.06925	0
376.0005	8	48	752001	768000	6	X	OUT	1	1.117	0
