name	type	units	low_cutoff	high_cutoff	sampling_frequency
mAHL1	SEEG	μV	1000	0.5	4000
mAHL2	SEEG	μV	1000	0.5	4000
mAHL3	SEEG	μV	1000	0.5	4000
mAHL4	SEEG	μV	1000	0.5	4000
mAHL5	SEEG	μV	1000	0.5	4000
mAHL6	SEEG	μV	1000	0.5	4000
mAHL7	SEEG	μV	1000	0.5	4000
mAHL8	SEEG	μV	1000	0.5	4000
mAHR1	SEEG	μV	1000	0.5	4000
mAHR2	SEEG	μV	1000	0.5	4000
mAHR3	SEEG	μV	1000	0.5	4000
mAHR4	SEEG	μV	1000	0.5	4000
mAHR5	SEEG	μV	1000	0.5	4000
mAHR6	SEEG	μV	1000	0.5	4000
mAHR7	SEEG	μV	1000	0.5	4000
mAHR8	SEEG	μV	1000	0.5	4000
mLL1	SEEG	μV	1000	0.5	4000
mLL2	SEEG	μV	1000	0.5	4000
mLL3	SEEG	μV	1000	0.5	4000
mLL4	SEEG	μV	1000	0.5	4000
mLL5	SEEG	μV	1000	0.5	4000
mLL6	SEEG	μV	1000	0.5	4000
mLL7	SEEG	μV	1000	0.5	4000
mLL8	SEEG	μV	1000	0.5	4000
mPHL1	SEEG	μV	1000	0.5	4000
mPHL2	SEEG	μV	1000	0.5	4000
mPHL3	SEEG	μV	1000	0.5	4000
mPHL4	SEEG	μV	1000	0.5	4000
mPHL5	SEEG	μV	1000	0.5	4000
mPHL6	SEEG	μV	1000	0.5	4000
mPHL7	SEEG	μV	1000	0.5	4000
mPHL8	SEEG	μV	1000	0.5	4000
mPHR1	SEEG	μV	1000	0.5	4000
mPHR2	SEEG	μV	1000	0.5	4000
mPHR3	SEEG	μV	1000	0.5	4000
mPHR4	SEEG	μV	1000	0.5	4000
mPHR5	SEEG	μV	1000	0.5	4000
mPHR6	SEEG	μV	1000	0.5	4000
mPHR7	SEEG	μV	1000	0.5	4000
mPHR8	SEEG	μV	1000	0.5	4000
mPL1	ECOG	μV	1000	0.5	4000
mPL2	ECOG	μV	1000	0.5	4000
mPL3	ECOG	μV	1000	0.5	4000
mPL4	ECOG	μV	1000	0.5	4000
mPL5	ECOG	μV	1000	0.5	4000
mPL6	ECOG	μV	1000	0.5	4000
