onset	duration	nTrial	begSample	endSample	SetSize	ProbeLetter	Match	Correct	ResponseTime	Artifact
0.005	8	1	1	1600	8	Z	IN	1	1.449	0
8.005	8	2	1601	3200	8	F	IN	1	1.0015	0
16.005	8	3	3201	4800	4	B	OUT	1	1.13425	0
24.005	8	4	4801	6400	4	D	IN	1	1.385	1
32.005	8	5	6401	8000	4	T	OUT	1	1.45325	0
40.005	8	6	8001	9600	8	H	OUT	1	1.07425	0
48.005	8	7	9601	11200	6	T	OUT	1	1.10725	1
56.005	8	8	11201	12800	8	F	OUT	0	1.1625	0
64.005	8	9	12801	14400	8	C	IN	1	1.53475	0
72.005	8	10	14401	16000	8	K	IN	1	1.5215	0
80.005	8	11	16001	17600	6	T	OUT	1	1.11575	0
88.005	8	12	17601	19200	4	C	IN	1	1.11625	0
96.005	8	13	19201	20800	8	K	IN	1	0.986	0
104.005	8	14	20801	22400	4	Z	OUT	1	0.86225	0
112.005	8	15	22401	24000	8	S	OUT	1	0.948	0
120.005	8	16	24001	25600	4	B	OUT	1	1.44425	0
128.005	8	17	25601	27200	8	P	OUT	0	1.3185	0
136.005	8	18	27201	28800	4	N	OUT	1	0.9355	0
144.005	8	19	28801	30400	4	B	IN	1	1.143	1
152.005	8	20	30401	32000	6	D	IN	1	1.1005	1
160.005	8	21	32001	33600	8	W	IN	1	0.8135	0
168.005	8	22	33601	35200	6	R	IN	1	0.82625	0
176.005	8	23	35201	36800	8	Z	IN	1	1.09875	0
184.005	8	24	36801	38400	4	Z	IN	1	1.29725	0
192.005	8	25	38401	40000	8	N	IN	1	0.933	0
200.005	8	26	40001	41600	6	H	IN	1	0.8395	0
208.005	8	27	41601	43200	6	N	OUT	1	1.13	0
216.005	8	28	43201	44800	6	S	OUT	1	1.04825	0
224.005	8	29	44801	46400	6	G	IN	1	0.9835	0
232.005	8	30	46401	48000	6	W	OUT	1	0.996	0
240.005	8	31	48001	49600	6	N	IN	1	1.233	1
248.005	8	32	49601	51200	6	C	IN	1	1.33825	1
256.005	8	33	51201	52800	6	Q	OUT	1	1.0015	0
264.005	8	34	52801	54400	4	C	OUT	1	0.8335	0
272.005	8	35	54401	56000	8	T	IN	1	1.2915	0
280.005	8	36	56001	57600	8	V	OUT	0	1.01375	0
288.005	8	37	57601	59200	4	B	OUT	1	1.644	0
296.005	8	38	59201	60800	4	D	OUT	1	0.911	0
304.005	8	39	60801	62400	8	H	OUT	1	1.3165	1
312.005	8	40	62401	64000	4	Q	OUT	1	0.90425	0
320.005	8	41	64001	65600	8	C	OUT	1	0.90825	0
328.005	8	42	65601	67200	6	B	OUT	1	1.8425	0
336.005	8	43	67201	68800	6	B	IN	1	1.044	0
344.005	8	44	68801	70400	4	Q	IN	1	0.86075	0
352.005	8	45	70401	72000	8	C	OUT	1	0.9935	0
360.005	8	46	72001	73600	8	L	IN	1	1.6105	0
368.005	8	47	73601	75200	8	T	IN	1	1.46025	0
376.005	8	48	75201	76800	6	V	IN	1	0.97825	0
384.005	8	49	76801	78400	6	W	OUT	1	0.97175	0
