onset	duration	nTrial	begSample	endSample	SetSize	ProbeLetter	Match	Correct	ResponseTime	Artifact
0.005	8	1	1	1600	4	X	IN	1	1.20625	1
8.005	8	2	1601	3200	8	X	IN	1	1.1215	1
16.005	8	3	3201	4800	6	X	OUT	1	0.832	0
24.005	8	4	4801	6400	6	X	IN	1	1.14675	0
32.005	8	5	6401	8000	6	X	IN	1	0.79325	0
40.005	8	6	8001	9600	6	X	IN	1	0.75975	0
48.005	8	7	9601	11200	6	X	OUT	0	9.97275	0
56.005	8	8	11201	12800	4	X	IN	1	1.02175	0
64.005	8	9	12801	14400	4	X	IN	1	1.061	0
72.005	8	10	14401	16000	8	X	OUT	1	2.0335	0
80.005	8	11	16001	17600	6	X	OUT	1	3.19975	0
88.005	8	12	17601	19200	6	X	OUT	1	0.9785	0
96.005	8	13	19201	20800	6	X	OUT	1	0.92225	0
104.005	8	14	20801	22400	6	X	OUT	1	1.0315	0
112.005	8	15	22401	24000	6	X	IN	0	0.97825	0
120.005	8	16	24001	25600	4	X	IN	1	1.27925	0
128.005	8	17	25601	27200	4	X	OUT	1	1.593	1
136.005	8	18	27201	28800	8	X	IN	0	3.182	0
144.005	8	19	28801	30400	4	X	OUT	1	1.91425	0
152.005	8	20	30401	32000	4	X	OUT	1	1.08875	0
160.005	8	21	32001	33600	4	X	OUT	1	1.62775	0
168.005	8	22	33601	35200	8	X	IN	1	1.80375	0
176.005	8	23	35201	36800	8	X	OUT	1	1.148	0
184.005	8	24	36801	38400	4	X	IN	1	0.862	0
192.005	8	25	38401	40000	4	X	OUT	1	1.239	0
200.005	8	26	40001	41600	8	X	IN	1	0.98025	0
208.005	8	27	41601	43200	6	X	IN	1	1.052	0
216.005	8	28	43201	44800	6	X	OUT	1	1.47825	1
224.005	8	29	44801	46400	6	X	OUT	1	0.9135	0
232.005	8	30	46401	48000	6	X	OUT	1	0.9975	0
240.005	8	31	48001	49600	8	X	IN	1	0.78275	0
248.005	8	32	49601	51200	4	X	IN	1	0.8935	0
256.005	8	33	51201	52800	8	X	IN	0	1.15475	0
264.005	8	34	52801	54400	4	X	IN	1	1.3035	1
272.005	8	35	54401	56000	4	X	IN	1	1.676	0
280.005	8	36	56001	57600	4	X	OUT	1	0.87325	0
288.005	8	37	57601	59200	8	X	IN	1	0.9835	0
296.005	8	38	59201	60800	8	X	IN	1	0.862	0
304.005	8	39	60801	62400	6	X	IN	0	3.9815	0
312.005	8	40	62401	64000	4	X	IN	1	1.09575	0
320.005	8	41	64001	65600	6	X	IN	1	0.833	0
328.005	8	42	65601	67200	6	X	OUT	1	1.58825	0
336.005	8	43	67201	68800	8	X	IN	1	1.01875	0
344.005	8	44	68801	70400	8	X	OUT	1	1.59725	0
352.005	8	45	70401	72000	6	X	IN	0	2.02925	0
360.005	8	46	72001	73600	4	X	IN	1	1.1215	0
368.005	8	47	73601	75200	8	X	IN	0	1.66125	0
376.005	8	48	75201	76800	4	X	IN	1	6.11375	0
384.005	8	49	76801	78400	6	X	OUT	1	1.074	0
392.005	8	50	78401	80000	8	X	IN	1	0.9255	0
